"Datum","Registratienummer","Productnaam"
"01-09-2022","RVG  130005//122731","Aktiprol 400 mg tabletten"
"30-08-2022","RVG  126429","Amoxicilline EG 1000 mg tabletten"
"07-09-2022","RVG  129583//31994","Atimos 12 microgram aërosol, oplossing"
"29-08-2022","RVG  129968//09013","Camcolit, 400 mg, tabletten"
"29-08-2022","RVG  130115//05573","Cyklokapron 100 mg/ml, oplossing voor injectie/infusie"
"05-09-2022","RVG  130223//25549","Femoston Continu 1 mg/5 mg, filmomhulde tabletten"
"29-08-2022","RVG  127981","Hezkue 12,5 mg/dosis, suspensie voor oraal gebruik"
"05-09-2022","RVG  127546","Losartankalium Amarox 100 mg, filmomhulde tabletten"
"05-09-2022","RVG  127544","Losartankalium Amarox 25 mg, filmomhulde tabletten"
"05-09-2022","RVG  127545","Losartankalium Amarox 50 mg, filmomhulde tabletten"
"30-08-2022","RVG  130221//33600","Mezavant 1200 mg maagsapresistente, tabletten met verlengde afgifte"
"29-08-2022","RVG  128671","Micafungine Pharmazac 100 mg poeder voor concentraat voor oplossing voor infusie"
"29-08-2022","RVG  128670","Micafungine Pharmazac 50 mg poeder voor concentraat voor oplossing voor infusie"
"05-09-2022","RVG  129772//05069","Microlax, oplossing voor rectaal gebruik"
"29-08-2022","RVG  130151//120624","Testavan 20 mg/g, gel voor transdermaal gebruik"
