"Datum","Registratienummer","Productnaam"
"22-08-2022","RVG  129439//121498","Alizem 30 mg zachte capsules"
"24-08-2022","RVG  129962//25415","Almotriptan Eureco-Pharma 12,5 mg filmomhulde tabletten"
"17-08-2022","RVG  127315","Artirem 0,0025 mmol/ml, oplossing voor injectie"
"18-08-2022","RVG  124492","Azacitidine Hikma 25 mg/ml poeder voor suspensie voor injectie"
"24-08-2022","RVG  128133","Bimatoprost/Timolol Pharmabide 0,3 mg/ml + 5 mg/ml oogdruppels, oplossing"
"24-08-2022","RVG  128132","Bimatoprost/Timolol Pharmabide 0,3 mg/ml + 5 mg/ml oogdruppels, oplossing in verpakking voor eenmalig gebruik"
"17-08-2022","RVG  126603","Deferasirox Abdi 180 mg filmomhulde tabletten"
"17-08-2022","RVG  126604","Deferasirox Abdi 360 mg filmomhulde tabletten"
"17-08-2022","RVG  126602","Deferasirox Abdi 90 mg filmomhulde tabletten"
"15-08-2022","RVG  130220//33788","Grazax, lyofilisaat voor oraal gebruik 75.000 SQ-T"
"17-08-2022","RVG  130120=107336","Livsane Paracetamol 500 mg, tabletten"
"18-08-2022","RVG  129767","Nicorette Freshmint 4 mg zuigtabletten"
"18-08-2022","RVG  128241//25073","NuvaRing 0,120 mg/0,015 mg per 24 uur, hulpmiddel voor vaginaal gebruik"
"18-08-2022","RVG  129034","Protamine sulfaat LEO Pharma 1400 anti-heparine IE/ml oplossing voor injectie en infusie"
"23-08-2022","RVG  129575//21940","Qvar Extrafijne Aërosol 100 Autohaler, 100 microgram/dosis, aërosol, oplossing"
"23-08-2022","RVG  129574//21939","Qvar Extrafijne Aërosol 50 Autohaler, 50 microgram/dosis, aërosol, oplossing"
"22-08-2022","RVG  130297//102601","Sumatriptan SUN 6 mg/0,5 ml oplossing voor injectie"
"23-08-2022","RVG  130056//119304","Travoprost/Timolol 40 microgram/ml + 5 mg/ml oogdruppels, oplossing"
