"Datum","Registratienummer","Productnaam"
"12-10-2021","RVG  125984","Alluzience 200 Speywood-eenheden/ml oplossing voor injectie"
"07-10-2021","RVG  125265","Carbamazepine Umedica 100 mg, tabletten"
"07-10-2021","RVG  125266","Carbamazepine Umedica 200 mg, tabletten"
"07-10-2021","RVG  125267","Carbamazepine Umedica 400 mg, tabletten"
"04-10-2021","RVG  126763","Citalopram Amarox 10 mg filmomhulde tabletten"
"04-10-2021","RVG  126764","Citalopram Amarox 20 mg filmomhulde tabletten"
"04-10-2021","RVG  126765","Citalopram Amarox 30 mg filmomhulde tabletten"
"04-10-2021","RVG  126766","Citalopram Amarox 40 mg filmomhulde tabletten"
"12-10-2021","RVG  128720//32727","EpiPen 300 microgram/dosis, oplossing voor injectie in een voorgevulde pen 1 mg/ml"
"12-10-2021","RVG  128888//25549","Femoston Continu 1/5, filmomhulde tabletten 1 mg, 5 mg"
"04-10-2021","RVG  126838","Fesoterodine Aristo 4 mg, tabletten met verlengde afgifte"
"04-10-2021","RVG  126843","Fesoterodine Aristo 8 mg, tabletten met verlengde afgifte"
"06-10-2021","RVG  128157//16213","Flixotide 125 Inhalator CFK-vrij, aërosol 125 microgram/dosis"
"06-10-2021","RVG  128156//16214","Flixotide 250 Inhalator CFK-vrij, aërosol 250 microgram/dosis"
"06-10-2021","RVG  127030","Gabapentine Amarox 100 mg, harde capsules"
"06-10-2021","RVG  127031","Gabapentine Amarox 300 mg, harde capsules"
"06-10-2021","RVG  127032","Gabapentine Amarox 400 mg, harde capsules"
"04-10-2021","RVG  128672//23013","Macrogol Top-Pharma 10 g, poeder voor drank in sachet"
"04-10-2021","RVG  126308","Melfalan Amarox 50 mg poeder en oplosmiddel voor oplossing voor injectie/infusie"
"06-10-2021","RVG  128746//34072","Moviprep, poeder voor drank"
"11-10-2021","RVG  126050","Sitagliptine Xiromed 100 mg filmomhulde tabletten"
"11-10-2021","RVG  126046","Sitagliptine Xiromed 25 mg filmomhulde tabletten"
"11-10-2021","RVG  126049","Sitagliptine Xiromed 50 mg filmomhulde tabletten"
"08-10-2021","RVG  127153","Submena 100 microgram, tabletten voor sublinguaal gebruik"
"08-10-2021","RVG  127154","Submena 200 microgram, tabletten voor sublinguaal gebruik"
"08-10-2021","RVG  127155","Submena 300 microgram, tabletten voor sublinguaal gebruik"
"08-10-2021","RVG  127156","Submena 400 microgram, tabletten voor sublinguaal gebruik"
"08-10-2021","RVG  127157","Submena 600 microgram, tabletten voor sublinguaal gebruik"
"08-10-2021","RVG  127158","Submena 800 microgram, tabletten voor sublinguaal gebruik"
"13-10-2021","RVG  126707","Testogel 40,5 mg, gel voor transdermaal gebruik in sachet"
