"Datum","Registratienummer","Productnaam"
"05-05-2022","RVG  129592//122730","Aktiprol 200 mg tabletten"
"05-05-2022","RVG  129591//122727","Aktiprol 50 mg tabletten"
"03-05-2022","RVG  126621","Bendamustine Accord 25 mg/ml concentraat voor oplossing voor infusie"
"09-05-2022","RVG  129590//33788","GRAZAX 75.000 SQ-T, lyofilisaat voor oraal gebruik"
"10-05-2022","RVG  129555","Kruidvat paracetamol 500 mg liquid caps, zachte capsules"
"06-05-2022","RVG  129822//22236","Prograft 0,5 mg capsules, hard"
"06-05-2022","RVG  129824//18107","Prograft 1 mg capsules, hard"
"03-05-2022","RVG  128261//110659","Rifaximine Medcor 550 mg filmomhulde tabletten"
"02-05-2022","RVG  126875","Rosuvastatine/ezetimibe Bausch Health Ireland Limited 10 mg/10 mg filmomhulde tabletten"
"02-05-2022","RVG  126876","Rosuvastatine/ezetimibe Bausch Health Ireland Limited 20 mg/10 mg filmomhulde tabletten"
"02-05-2022","RVG  126877","Rosuvastatine/ezetimibe Bausch Health Ireland Limited 40 mg/10 mg filmomhulde tabletten"
"02-05-2022","RVG  126874","Rosuvastatine/ezetimibe Bausch Health Ireland Limited 5 mg/10 mg filmomhulde tabletten"
"04-05-2022","RVG  129494//122004","Saflutan 15 microgram/ml oogdruppels, oplossing"
"05-05-2022","RVG  128734","Serinflu Tetra, suspensie voor injectie in voorgevulde spuit 0,5 ml"
"04-05-2022","RVG  126794","Vitamine D3 IBSA 25.000 IE orodispergeerbare films"
"04-05-2022","RVG  126792","Vitamine D3 IBSA 25.000 IE zachte capsules"
"04-05-2022","RVG  126795","Vitamine D3 IBSA 50.000 IE orodispergeerbare films"
"04-05-2022","RVG  126793","Vitamine D3 IBSA 50.000 IE zachte capsules"
"06-05-2022","RVG  127713","Zantac esomeprazol 20 mg, harde maagsapresistente capsules"
"10-05-2022","RVG  129949//24160","Zyban, tabletten met verlengde afgifte 150 mg"
"10-05-2022","RVG  129877//11800","Zyloric 200 mg, tabletten"
