"Datum","Registratienummer","Productnaam"
"19-01-2022","RVG  127526","Abirateron Zentiva 500 mg filmomhulde tabletten"
"26-01-2022","RVG  127303","Cleenema 139,1 mg/ml / 31,7 mg/ml, oplossing voor rectaal gebruik"
"17-01-2022","RVG  129230//120929","Creon 35.000 eenheden, harde maagsapresistente capsules"
"19-01-2022","RVG  129232//34610","Foster 100/6 microgram/dosis, aërosol, oplossing"
"19-01-2022","RVG  129233//34610","Foster 100/6 microgram/dosis, aërosol, oplossing"
"24-01-2022","RVG  129255//115693","Foster 200/6 microgram/dosis, aërosol, oplossing"
"17-01-2022","RVG  128688//19048","Gaviscon pepermunt, suspensie"
"26-01-2022","RVG  128919","Injexate 10 mg = 0,20 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128920","Injexate 12,5 mg = 0,25 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128921","Injexate 15 mg = 0,30 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128922","Injexate 17,5 mg = 0,35 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128923","Injexate 20 mg = 0,40 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128924","Injexate 22,5 mg = 0,45 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128925","Injexate 25 mg = 0,50 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128926","Injexate 27,5 mg = 0,55 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128927","Injexate 30 mg = 0,60 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128918","Injexate 7,5 mg = 0,15 ml oplossing voor injectie in voorgevulde injector"
"18-01-2022","RVG  127341","Lacosamide Mylan 150 mg, filmomhulde tabletten"
"18-01-2022","RVG  127342","Lacosamide Mylan 200 mg, filmomhulde tabletten"
"18-01-2022","RVG  127339","Lacosamide Mylan 50 mg, filmomhulde tabletten"
"18-01-2022","RVG  127447","Meropenem Xiromed 1000 mg, poeder voor oplossing voor injectie of infusie"
"18-01-2022","RVG  127446","Meropenem Xiromed 500 mg, poeder voor oplossing voor injectie of infusie"
"25-01-2022","RVG  129285//24206","Mifegyne, tabletten 200 mg"
"24-01-2022","RVG  128783//12060","Nimodipine Eureco-Pharma 30 mg, filmomhulde tabletten"
"24-01-2022","RVG  127497","SmofKabiven Nutribase emulsie voor infusie"
"26-01-2022","RVG  126661","Tramadol/Paracetamol Accord 37,5mg/325mg bruistablet"
"24-01-2022","RVG  125074//07831","Xylocaine 100 mg/ml spray"
