"Datum","Registratienummer","Productnaam"
"23-03-2022","RVG  129722","Abirateron STADA 250 mg, filmomhulde tabletten"
"23-03-2022","RVG  129723","Abirateron STADA 500 mg, filmomhulde tabletten"
"22-03-2022","RVG  129581//122730","Aktiprol 200 mg tabletten"
"22-03-2022","RVG  129563//122731","Aktiprol 400 mg tabletten"
"22-03-2022","RVG  128056","Anau 100 mg filmomhulde tabletten"
"24-03-2022","RVG  129147//117146","BOTOX 100 Allerganeenheden, poeder voor oplossing voor injectie"
"24-03-2022","RVG  126051","Cisplatine Hikma 1 mg/ml concentraat voor oplossing voor infusie"
"23-03-2022","RVG  127539","Clobazam Sandoz tablet 10 mg, tabletten"
"28-03-2022","RVG  126418","Deferasirox CF 900 mg, filmomhulde tabletten"
"24-03-2022","RVG  129596//06334","Desuric 100 mg, tabletten"
"28-03-2022","RVG  129264//21835","Flixotide 2000 Nebules, vernevelsuspensie 2,0 mg/2 ml"
"22-03-2022","RVG  129594//33788","GRAZAX 75.000 SQ-T, lyofilisaat voor oraal gebruik"
"22-03-2022","RVG  129726//33788","Grazax 75.000 SQ-T, lyophilisaat voor oraal gebruik"
"22-03-2022","RVG  129571=29569","Hydrochloorthiazide ratiopharm 12,5 mg, tabletten"
"22-03-2022","RVG  129572=09640","Hydrochloorthiazide ratiopharm 25 mg, tabletten"
"22-03-2022","RVG  129588//29963","Inspra 25, filmomhulde tabletten 25 mg"
"23-03-2022","RVG  127289","Lacosamide Aurobindo 150mg, filmomhulde tabletten"
"23-03-2022","RVG  127288","Lacosamide Aurobindo 50 mg, filmomhulde tabletten"
"21-03-2022","RVG  129428//21683","Losec MUPS 10 mg, maagsapresistente tabletten"
"21-03-2022","RVG  129270//21684","Losec MUPS 20 mg, maagsapresistente tabletten"
"21-03-2022","RVG  129505//21684","Losec MUPS 20 mg, maagsapresistente tabletten"
"21-03-2022","RVG  128535//07041","Methylprednisolon Eureco-Pharma 62,5 mg/ml poeder en oplosmiddel voor oplossing voor injectie"
"28-03-2022","RVG  129355//111965","Metoject PEN 15 mg=0,3 ml, oplossing voor injectie in een voorgevulde pen"
"28-03-2022","RVG  129396//33600","Mezavant 1200 mg, maagsapresistente tabletten met verlengde afgifte"
"28-03-2022","RVG  129397//33600","Mezavant 1200 mg, maagsapresistente tabletten met verlengde afgifte"
"22-03-2022","RVG  129432//30565","Omnic Ocas 0,4, tabletten met verlengde afgifte 0,4 mg"
"29-03-2022","RVG  129700//23529","Seretide Diskus 50/100 microgram/dosis, inhalatiepoeder, voorverdeeld"
"29-03-2022","RVG  129696//23530","Seretide Diskus 50/250 microgram/dosis, inhalatiepoeder, voorverdeeld"
"22-03-2022","RVG  127283","Sertraline Amarox 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127281","Sertraline Amarox 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127282","Sertraline Amarox 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  127483","Sitagliptine Sandoz 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127486","Sitagliptine Sandoz 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127489","Sitagliptine Sandoz 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127492","Sitagliptine Sandoz 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127495","Sitagliptine Sandoz 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127481","Sitagliptine Sandoz 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127484","Sitagliptine Sandoz 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127487","Sitagliptine Sandoz 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127490","Sitagliptine Sandoz 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127493","Sitagliptine Sandoz 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127482","Sitagliptine Sandoz 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  127485","Sitagliptine Sandoz 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  127488","Sitagliptine Sandoz 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  127491","Sitagliptine Sandoz 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  127494","Sitagliptine Sandoz 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  128884","Sitagliptine Zillen Farma 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  128882","Sitagliptine Zillen Farma 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  128883","Sitagliptine Zillen Farma 50 mg, filmomhulde tabletten"
"30-03-2022","RVG  129635//00027","Sustanon 250 mg/ml, oplossing voor injectie"
"21-03-2022","RVG  129402//102458","Tetmodis 25 mg, tabletten"
"25-03-2022","RVG  129556","Trekpleister paracetamol 500 mg liquid caps, zachte capsules"
"24-03-2022","RVG  129673//33668","Wellbutrin XR 150 mg, tabletten met gereguleerde afgifte"
"29-03-2022","RVG  129423//120637","Yaldigo 1600 mg, tabletten met gereguleerde afgifte"
