"Datum","Registratienummer","Productnaam"
"02-11-2021","RVG  127130","Bortezomib EVER Pharma 2,5 mg/ml oplossing voor injectie"
"09-11-2021","RVG  128007","Cinacalcet Reddy 30 mg filmomhulde tabletten"
"09-11-2021","RVG  128008","Cinacalcet Reddy 60 mg filmomhulde tabletten"
"09-11-2021","RVG  128009","Cinacalcet Reddy 90 mg filmomhulde tabletten"
"01-11-2021","RVG  128442//10656","Creon 10.000, harde maagsapresistente capsules 10.000 eenheden"
"08-11-2021","RVG  128963//16055","Creon 25.000 eenheden, harde maagsapresistente capsules"
"10-11-2021","RVG  124419","Deflazacort Vital Pharma Nordic 30mg, tabletten"
"10-11-2021","RVG  124416","Deflazacort Vital Pharma Nordic 6 mg, tabletten"
"01-11-2021","RVG  128129","Everolimus Ethypharm 10 mg tabletten"
"01-11-2021","RVG  128127","Everolimus Ethypharm 2,5 mg tabletten"
"01-11-2021","RVG  128128","Everolimus Ethypharm 5 mg tabletten"
"05-11-2021","RVG  128572","Fesoterodine Teva 4 mg, tabletten met verlengde afgifte"
"05-11-2021","RVG  128573","Fesoterodine Teva 8 mg, tabletten met verlengde afgifte"
"03-11-2021","RVG  128581//16214","Flixotide 250 Inhalator CFK-vrij, aërosol, suspensie 250 microgram/dosis"
"03-11-2021","RVG  128579//16212","Flixotide 50 Inhalator CFK-vrij, aërosol, suspensie 50 microgram/dosis"
"05-11-2021","RVG  128587//107242","Flutiform 125 microgram / 5 microgram / dosis aërosol, suspensie"
"04-11-2021","RVG  126839","GlucoPET 250 MBq/ml, oplossing voor injectie"
"08-11-2021","RVG  127082","Icatibant Glenmark 30 mg oplossing voor injectie in een voorgevulde spuit"
"09-11-2021","RVG  128247","Itraconazol 10 mg/ml Focus Care, drank"
"08-11-2021","RVG  129028//21683","Losec MUPS 10 mg, maagsapresistente tabletten"
"08-11-2021","RVG  129014//21684","Losec MUPS 20 mg, maagsapresistente tabletten"
"03-11-2021","RVG  129036//10228","Natriumcromoglicaat BModesto, granulaat in sachets 200 mg"
"10-11-2021","RVG  128566","Ondansetron 4 mg/5 ml Focus Care, Stroop"
"05-11-2021","RVG  127262","Pemetrexed SUN 10 mg/ml oplossing voor infusie"
"05-11-2021","RVG  127263","Pemetrexed SUN 11 mg/ml oplossing voor infusie"
"05-11-2021","RVG  127254","Pemetrexed SUN 5 mg/ml oplossing voor infusie"
"05-11-2021","RVG  127255","Pemetrexed SUN 6 mg/ml oplossing voor infusie"
"05-11-2021","RVG  127256","Pemetrexed SUN 6,5 mg/ml oplossing voor infusie"
"05-11-2021","RVG  127257","Pemetrexed SUN 7 mg/ml oplossing voor infusie"
"05-11-2021","RVG  127258","Pemetrexed SUN 7,5 mg/ml oplossing voor infusie"
"05-11-2021","RVG  127259","Pemetrexed SUN 8 mg/ml oplossing voor infusie"
"05-11-2021","RVG  127260","Pemetrexed SUN 8,5 mg/ml oplossing voor infusie"
"05-11-2021","RVG  127261","Pemetrexed SUN 9 mg/ml oplossing voor infusie"
"03-11-2021","RVG  128976//34425","Rupafin 10 mg tabletten"
"02-11-2021","RVG  128971//103823","Saflutan 15 microgram/ml, oogdruppels, oplossing, verpakking voor eenmalig gebruik"
"03-11-2021","RVG  125473","Sitagliptine CF 100 mg, filmomhulde tabletten"
"03-11-2021","RVG  125471","Sitagliptine CF 25 mg, filmomhulde tabletten"
"03-11-2021","RVG  125472","Sitagliptine CF 50 mg, filmomhulde tabletten"
"03-11-2021","RVG  125478","Sitagliptine STADA 100 mg, filmomhulde tabletten"
"03-11-2021","RVG  125475","Sitagliptine STADA 25 mg, filmomhulde tabletten"
"03-11-2021","RVG  125477","Sitagliptine STADA 50 mg, filmomhulde tabletten"
"01-11-2021","RVG  124484","Strepfen met sinaasappelsmaak suikervrij 8,75 mg, zuigtabletten"
"01-11-2021","RVG  124485","Strepfen met sinaasappelsmaak suikervrij 8,75 mg, zuigtabletten"
"01-11-2021","RVG  124486","Strepfen met sinaasappelsmaak suikervrij 8,75 mg, zuigtabletten"
"01-11-2021","RVG  124487","Strepfen met sinaasappelsmaak suikervrij 8,75 mg, zuigtabletten"
"10-11-2021","&nbspRVG  126113","Tentin 10 mg tabletten"
"10-11-2021","&nbspRVG  126116","Tentin 20 mg tabletten"
"03-11-2021","RVG  127264","Ursonorm 400 mg filmomhulde tabletten"
"02-11-2021","RVG  127029","Velariq 1 mg/ml oplossing voor intravesicaal gebruik"
"10-11-2021","RVG  128983//10375","Vepesid 50 mg capsules, zacht"
"05-11-2021","RVG  127013","Wynzora, 50 microgram/g + 0,5 mg/g crème"
"10-11-2021","RVG  127943//07830","Xylocaine 20 mg/g Gel, catheterslijm"
"10-11-2021","RVG  128804//120637","Yaldigo 1600 mg, tabletten met gereguleerde afgifte"
