"Datum","Registratienummer","Productnaam"
"08-03-2022","RVG  127138","Bimatoprost Brown & Burk 0,3 mg/ml oogdruppels, oplossing, in verpakking voor eenmalig gebruik"
"09-03-2022","RVG  126862","Bimatoprost/Timolol Brown & Burk 0,3 mg/ml + 5 mg/ml oogdruppels, oplossing in verpakking voor eenmalig gebruik"
"08-03-2022","RVG  127534","Bimeox 0,3 mg/ml oogdruppels, oplossing, in verpakking voor eenmalig gebruik"
"14-03-2022","RVG  127827","Budesonide Teva 3 mg, harde maagsapresistente capsules"
"08-03-2022","RVG  129528//08201","Calcitonine ERC 100 IE/ml, oplossing voor injectie en infusie"
"09-03-2022","RVG  128148","Canephron Uno, omhulde tabletten"
"07-03-2022","RVG  129413//06279","Dogmatil 50, capsules 50 mg"
"08-03-2022","RVG  129493//35313","Eligard 45 mg poeder en oplosmiddel voor oplossing voor injectie"
"16-03-2022","RVG  128834//17316","Engerix-B 20 microgram/1 ml, suspensie voor injectie"
"07-03-2022","RVG  127702","Esomeprazol ADOH 40 mg, poeder voor oplossing voor injectie/infusie"
"09-03-2022","RVG  125698","Fingolimod Biocon 0,5 mg harde capsules"
"08-03-2022","RVG  127540","Furosemide Xiromed 20 mg, tabletten"
"08-03-2022","RVG  127541","Furosemide Xiromed 40 mg, tabletten"
"07-03-2022","RVG  129542//33788","GRAZAX, lyofilisaat voor oraal gebruik 75.000 SQ-T"
"07-03-2022","RVG  129548//33788","GRAZAX, lyofilisaat voor oraal gebruik 75.000 SQ-T"
"08-03-2022","RVG  129420//07487","Hypnomidate 2 mg/ml, oplossing voor injectie"
"08-03-2022","RVG  126988","Letybo 50 eenheden poeder voor oplossing voor injectie"
"15-03-2022","RVG  129319//16163","Locoid Crelo, emulsie voor cutaan gebruik 1 mg/g"
"14-03-2022","RVG  126873","Loratadine Accord 10 mg tabletten"
"14-03-2022","RVG  129564//123203","Oestrogel 0,75 mg/dosis, transdermale gel"
"16-03-2022","RVG  129399//06150","Orap tabletten 4 mg, tabletten"
"14-03-2022","RVG  127890","Oxcarbazepine ADOH 150 mg, filmomhulde tabletten"
"14-03-2022","RVG  127892","Oxcarbazepine ADOH 300 mg, filmomhulde tabletten"
"14-03-2022","RVG  127893","Oxcarbazepine ADOH 600 mg, filmomhulde tabletten"
"11-03-2022","RVG  129496//100154","Rocuroniumbromide Medcor 10 mg/ml oplossing voor injectie/infusie"
"09-03-2022","RVG  129220//31801","Tacal D3 500 mg/400 I.E. Munt, kauwtabletten"
"08-03-2022","RVG  129424//129290","Tetagam P 250 IE, oplossing voor injectie in een voorgevulde spuit"
"08-03-2022","RVG  129243//115752","Tranylcypromine Eureco-Pharma 20 mg, filmomhulde tabletten"
"08-03-2022","RVG  127274","Vildagliptine Macleods 50 mg tabletten"
"14-03-2022","RVG  129398//117734","Voltaren Emulgel Extra Sterk 2,32%, gel"
