"Datum","Registratienummer","Productnaam"
"01-08-2022","RVG  127911","Abirateron Leon Farma 500 mg filmomhulde tabletten"
"01-08-2022","RVG  127909","Abirateron Xiromed 500 mg filmomhulde tabletten"
"29-07-2022","RVG  127960","Acetylcysteïne Auro 200 mg, bruistabletten"
"02-08-2022","RVG  127559","Arseentrioxide Sandoz 2 mg/ml, concentraat voor oplossing voor infusie"
"25-07-2022","RVG  129582//31994","Atimos 12 microgram, aërosol, oplossing"
"29-07-2022","RVG  128208","Cefuroxim Venus Pharma 1500 mg poeder voor oplossing voor injectie/infusie"
"29-07-2022","RVG  128207","Cefuroxim Venus Pharma 750 mg poeder voor oplossing voor injectie/infusie"
"26-07-2022","RVG  130093//30096","Clarelux 500 microgram/g schuim voor cutaan gebruik in spuitbus"
"28-07-2022","RVG  130051//124489","Elvanse 30 mg, harde capsules"
"28-07-2022","RVG  130052//124497","Elvanse 70 mg, harde capsules"
"28-07-2022","RVG  127290","Fenogal 160 mg harde capsules"
"02-08-2022","RVG  128242//18194","Flixotide Diskus 250 microgram/dosis inhalatiepoeder, voorverdeeld"
"03-08-2022","RVG  129307//23013","Forlax 10 g, poeder voor drank in sachet 10 g"
"01-08-2022","RVG  126941","Foscarnet Tillomed 24 mg/ml oplossing voor infusie"
"27-07-2022","RVG  130079//110104","Foster NEXThaler 100/6 microgram/dosis, inhalatiepoeder"
"02-08-2022","RVG  130080//02011","GlucaGen HypoKit 1 mg, poeder en oplosmiddel voor oplossing voor injectie"
"02-08-2022","RVG  129816//50836","Morfine HCl BModesto 10 mg/ml, oplossing voor injectie"
"02-08-2022","RVG  129985//114005","Rosuvastatine/Ezetimibe ERC 10 mg/10 mg, harde capsules"
"02-08-2022","RVG  130004//114006","Rosuvastatine/Ezetimibe ERC 20 mg/10 mg, harde capsules"
"03-08-2022","RVG  127987","Sitagliptine/Metformine Diagonalis 50 mg/1000 mg filmomhulde tabletten"
"03-08-2022","RVG  127986","Sitagliptine/Metformine Diagonalis 50 mg/850 mg filmomhulde tabletten"
"28-07-2022","RVG  128473","Tacrolimus CF 0,5 mg, harde capsules met verlengde afgifte"
"28-07-2022","RVG  128474","Tacrolimus CF 1 mg, harde capsules met verlengde afgifte"
"28-07-2022","RVG  128475","Tacrolimus CF 3 mg, harde capsules met verlengde afgifte"
"28-07-2022","RVG  128476","Tacrolimus CF 5 mg, harde capsules met verlengde afgifte"
"27-07-2022","RVG  130118","Tizanidine 2 mg Focus Care, tabletten"
"27-07-2022","RVG  130119","Tizanidine 4 mg Focus Care, tabletten"
"29-07-2022","RVG  129561//115752","Tracydal 20 mg filmomhulde tabletten"
"27-07-2022","RVG  127766","Valsartan Reddy 120 mg filmomhulde tabletten"
"27-07-2022","RVG  127767","Valsartan Reddy 160 mg filmomhulde tabletten"
"27-07-2022","RVG  127768","Valsartan Reddy 320 mg filmomhulde tabletten"
"27-07-2022","RVG  127764","Valsartan Reddy 40 mg filmomhulde tabletten"
"27-07-2022","RVG  127765","Valsartan Reddy 80 mg filmomhulde tabletten"
