"Datum","Registratienummer","Productnaam"
"23-12-2021","RVG  128790//04174","2,4-Dichloorbenzylalcohol 1.2 mg en Amylmetacresol 0,6 mg Top-Pharma, zuigtabletten"
"23-12-2021","RVG  128539//50812","Adrenaline Eureco-Pharma, 1 mg/ml, oplossing voor injectie"
"21-12-2021","RVG  128691","Alutard SQ Phleum pratense 10.000 SQ-E/ml, suspensie voor injectie"
"21-12-2021","RVG  128693","Alutard SQ Phleum pratense 100 -100.000 SQ-E/ml, suspensie voor injectie"
"21-12-2021","RVG  128692","Alutard SQ Phleum pratense 100.000 SQ-E/ml, suspensie voor injectie"
"24-12-2021","RVG  127994//01032","Antabus dispergetten 400 mg, bruistabletten"
"29-12-2021","RVG  129221//114005","Cholecomb 10 mg/10 mg, capsule, hard"
"29-12-2021","RVG  129192//114006","Cholecomb 20 mg/10 mg, capsule, hard"
"29-12-2021","RVG  128910//15466","Ciclopiroxolamine ERC 10 mg/g, hydrofiele crème"
"21-12-2021","RVG  126611","Cifoban 136 mmol/l oplossing voor infusie"
"20-12-2021","RVG  128444//16055","Creon 25.000, harde maagsapresistente capsules 25.000 eenheden"
"21-12-2021","RVG  128567//03186","Haloperidol Eureco-Pharma 2mg/ml, drank"
"28-12-2021","RVG  127227","Icatibant Aguettant 30 mg oplossing voor injectie in een voorgevulde spuit"
"28-12-2021","RVG  128517//19469","Imigran 10 Neusspray, neusspray 10 mg/dosis"
"23-12-2021","RVG  128509//15481","Isoptin SR 120, tabletten met gereguleerde afgifte 120 mg"
"23-12-2021","RVG  128512//12102","Isoptin SR 240, tabletten met gereguleerde afgifte 240 mg"
"21-12-2021","RVG  127367","JANECLUC 50 mg/1000 mg filmomhulde tabletten"
"21-12-2021","RVG  127366","JANECLUC 50 mg/850 mg filmomhulde tabletten"
"22-12-2021","RVG  126362","Janeo 100 mg, filmomhulde tabletten"
"22-12-2021","RVG  126361","Janeo 50 mg, filmomhulde tabletten"
"27-12-2021","RVG  129083//30794","Nebido 1000 mg/4 ml, oplossing voor injectie"
"22-12-2021","RVG  127007","Nebivolol Accord 2,5 mg tabletten"
"22-12-2021","RVG  127010","Nebivolol Accord 5 mg tabletten"
"27-12-2021","RVG  127780","Rivastigmine Teva 13,3 mg/24 u, pleister voor transdermaal gebruik"
"27-12-2021","RVG  127776","Rivastigmine Teva 4,6 mg/24 u, pleister voor transdermaal gebruik"
"27-12-2021","RVG  127779","Rivastigmine Teva 9,5 mg/24 u, pleister voor transdermaal gebruik"
"21-12-2021","RVG  128747","Tardyferon 80 mg tabletten met verlengde afgifte"
"27-12-2021","RVG  129118//120624","Testavan 20 mg/g, gel voor transdermaal gebruik"
"29-12-2021","RVG  128731//51924","Thiamine HCl Eureco-Pharma 100 mg/ml, oplossing voor injectie"
