"Datum","Registratienummer","Productnaam"
"14-07-2022","RVG  127910","Abirateron Normon 500 mg filmomhulde tabletten"
"14-07-2022","RVG  129943//113415","Adport 2 mg, capsules, hard"
"19-07-2022","RVG  129817//117146","BOTOX, 100 Allerganeenheden, poeder voor oplossing voor injectie"
"12-07-2022","RVG  128468","Brastib 250 mg, filmomhulde tabletten"
"11-07-2022","RVG  128907","Bronchostop Hoestdrank heemstwortel- lindebloesem- en weegbreebladextract"
"14-07-2022","RVG  129981//124496","Elvanse 50 mg, harde capsules"
"14-07-2022","RVG  125462","Fampridine Sandoz 10 mg, tabletten met verlengde afgifte"
"14-07-2022","RVG  125433","Fampridine Xiromed 10 mg tabletten met verlengde afgifte"
"12-07-2022","RVG  129708//23794","Fraxiparine Forte 11.400 IE/ 0,6 ml oplossing voor injectie"
"12-07-2022","RVG  129705//23795","Fraxiparine Forte 15.200 IE/ 0,8 ml oplossing voor injectie"
"14-07-2022","RVG  127748","Ibuprofen (als lysine) HTP 200 mg, filmomhulde tabletten"
"14-07-2022","RVG  127750","Ibuprofen (als lysine) HTP 400 mg, filmomhulde tabletten"
"11-07-2022","RVG  129765","Imatinib Krka 100 mg filmomhulde tabletten"
"11-07-2022","RVG  129766","Imatinib Krka 400 mg filmomhulde tabletten"
"18-07-2022","RVG  126859","Izgrev 150 mg/12,5 mg filmomhulde tabletten"
"18-07-2022","RVG  126860","Izgrev 300 mg/12,5 mg filmomhulde tabletten"
"12-07-2022","RVG  128465","Lapatinib STADA 250 mg, filmomhulde tabletten"
"12-07-2022","RVG  128466","Lapatinib STADA Arzneimittel AG 250 mg, filmomhulde tabletten"
"19-07-2022","RVG  129308//31130","Metvix 160 mg/g crème"
"20-07-2022","RVG  124984","Nuralgan 500 mg/200 mg filmomhulde tabletten"
"14-07-2022","RVG  128397","Olmesartan medoxomil Teva 10 mg, filmomhulde tabletten"
"14-07-2022","RVG  128398","Olmesartan medoxomil Teva 20 mg, filmomhulde tabletten"
"14-07-2022","RVG  128399","Olmesartan medoxomil Teva 40 mg, filmomhulde tabletten"
"14-07-2022","RVG  129945//18758","Oramorph oplossing 10 mg/5 ml, drank"
"12-07-2022","RVG  127721","Rivaroxaban 1A Pharma 10 mg, filmomhulde tabletten"
"12-07-2022","RVG  127724","Rivaroxaban 1A Pharma 15 mg + 20 mg, filmomhulde tabletten"
"12-07-2022","RVG  127722","Rivaroxaban 1A Pharma 15 mg, filmomhulde tabletten"
"12-07-2022","RVG  127720","Rivaroxaban 1A Pharma 2,5 mg, filmomhulde tabletten"
"12-07-2022","RVG  127723","Rivaroxaban 1A Pharma 20 mg, filmomhulde tabletten"
"19-07-2022","RVG  128103","Rivaroxaban Reddy 10 mg filmomhulde tabletten"
"19-07-2022","RVG  128104","Rivaroxaban Reddy 15 mg filmomhulde tabletten"
"19-07-2022","RVG  128101","Rivaroxaban Reddy 2,5 mg filmomhulde tabletten"
"19-07-2022","RVG  128105","Rivaroxaban Reddy 20 mg filmomhulde tabletten"
"12-07-2022","RVG  127716","Rivaroxaban Sandoz 10 mg, filmomhulde tabletten"
"12-07-2022","RVG  127719","Rivaroxaban Sandoz 15 mg + 20 mg, filmomhulde tabletten"
"12-07-2022","RVG  127717","Rivaroxaban Sandoz 15 mg, filmomhulde tabletten"
"12-07-2022","RVG  127715","Rivaroxaban Sandoz 2,5 mg, filmomhulde tabletten"
"12-07-2022","RVG  127718","Rivaroxaban Sandoz 20 mg, filmomhulde tabletten"
"19-07-2022","RVG  128354","Sitagliptine Auro 100 mg, filmomhulde tabletten"
"19-07-2022","RVG  128352","Sitagliptine Auro 25 mg, filmomhulde tabletten"
"19-07-2022","RVG  128353","Sitagliptine Auro 50 mg, filmomhulde tabletten"
"19-07-2022","RVG  128348","Sitagliptine Aurobindo 100 mg, filmomhulde tabletten"
"19-07-2022","RVG  128345","Sitagliptine Aurobindo 25 mg, filmomhulde tabletten"
"19-07-2022","RVG  128347","Sitagliptine Aurobindo 50 mg, filmomhulde tabletten"
"19-07-2022","RVG  128014","Sitagliptine/Metformine hydrochloride Reddy 50 mg/1000 mg filmomhulde tabletten"
"19-07-2022","RVG  128012","Sitagliptine/Metformine hydrochloride Reddy 50 mg/850 mg filmomhulde tabletten"
"13-07-2022","RVG  127849","Sugammadex Noridem 100 mg/ml, Oplossing voor injectie"
"13-07-2022","RVG  125669","Teriparatide Ambio Pharma 20 microgram/80 microliter, oplossing voor injectie in een voorgevulde pen"
"14-07-2022","RVG  127843","Thiotepa medac 100 mg poeder voor concentraat voor oplossing voor infusie"
"14-07-2022","RVG  127841","Thiotepa medac 15 mg poeder voor concentraat voor oplossing voor infusie"
"13-07-2022","RVG  129984//115752","Tranylcypromine ERC 20 mg filmomhulde tabletten"
"12-07-2022","RVG  127726","Xaboplax 10 mg, filmomhulde tabletten"
"12-07-2022","RVG  127729","Xaboplax 15 mg + 20 mg, filmomhulde tabletten"
"12-07-2022","RVG  127727","Xaboplax 15 mg, filmomhulde tabletten"
"12-07-2022","RVG  127725","Xaboplax 2,5 mg, filmomhulde tabletten"
"12-07-2022","RVG  127728","Xaboplax 20 mg, filmomhulde tabletten"
"13-07-2022","RVG  129312//18562","Zoladex-10,8, implantatiestaafje 10,8 mg"
