"Datum","Registratienummer","Productnaam"
"01-08-2022","RVG  127911","Abirateron Leon Farma 500 mg filmomhulde tabletten"
"01-08-2022","RVG  127909","Abirateron Xiromed 500 mg filmomhulde tabletten"
"10-08-2022","RVG  127134","Amitriptyline Expharma 10 mg, filmomhulde tableten"
"10-08-2022","RVG  127449","Amitriptyline Expharma 50 mg, filmomhulde tabletten"
"02-08-2022","RVG  127559","Arseentrioxide Sandoz 2 mg/ml, concentraat voor oplossing voor infusie"
"10-08-2022","RVG  130050//14081","Cibacen 20 mg, omhulde tabletten"
"04-08-2022","RVG  129843","Diclofenac Linn 2,32% extra sterk, gel"
"10-08-2022","RVG  129033//15437","Eskazole 400 mg, tabletten"
"02-08-2022","RVG  128242//18194","Flixotide Diskus 250 microgram/dosis inhalatiepoeder, voorverdeeld"
"03-08-2022","RVG  129307//23013","Forlax 10 g, poeder voor drank in sachet 10 g"
"01-08-2022","RVG  126941","Foscarnet Tillomed 24 mg/ml oplossing voor infusie"
"04-08-2022","RVG  130040//23794","Fraxiparine Forte 11.400 IE/ 0,6 ml oplossing voor injectie"
"04-08-2022","RVG  130037//23795","Fraxiparine Forte 15.200 IE/ 0,8 ml oplossing voor injectie"
"04-08-2022","RVG  130038//23796","Fraxiparine Forte 19.000 IE/ 1 ml oplossing voor injectie"
"08-08-2022","RVG  125983//05617","Fucidin 20 mg/g zalf"
"09-08-2022","RVG  128561//05617","Fucidin 20 mg/g zalf"
"02-08-2022","RVG  130080//02011","GlucaGen HypoKit 1 mg, poeder en oplosmiddel voor oplossing voor injectie"
"02-08-2022","RVG  129816//50836","Morfine HCl BModesto 10 mg/ml, oplossing voor injectie"
"04-08-2022","RVG  128271","Nomegestrolacetaat/Estradiol Viatris 2,5 mg/1,5 mg filmomhulde tabletten"
"05-08-2022","RVG  125968","Pantoprazol AMETAS 20 mg maagsapresistente tabletten"
"05-08-2022","RVG  125969","Pantoprazol AMETAS 40 mg maagsapresistente tabletten"
"05-08-2022","RVG  128090","Quetiapine Aurobindo 150 mg, tabletten met verlengde afgifte"
"05-08-2022","RVG  128091","Quetiapine Aurobindo 200 mg, tabletten met verlengde afgifte"
"05-08-2022","RVG  128092","Quetiapine Aurobindo 300 mg, tabletten met verlengde afgifte"
"05-08-2022","RVG  128093","Quetiapine Aurobindo 400 mg, tabletten met verlengde afgifte"
"05-08-2022","RVG  128088","Quetiapine Aurobindo 50 mg, tabletten met verlengde afgifte"
"02-08-2022","RVG  129985//114005","Rosuvastatine/Ezetimibe ERC 10 mg/10 mg, harde capsules"
"02-08-2022","RVG  130004//114006","Rosuvastatine/Ezetimibe ERC 20 mg/10 mg, harde capsules"
"03-08-2022","RVG  127987","Sitagliptine/Metformine Diagonalis 50 mg/1000 mg filmomhulde tabletten"
"03-08-2022","RVG  127986","Sitagliptine/Metformine Diagonalis 50 mg/850 mg filmomhulde tabletten"
"09-08-2022","RVG  129311//06089","Tavegyl 1mg/ml, oplossing voor injectie"
"09-08-2022","RVG  128054","Trederol 10.000 IE filmomhulde tabletten"
"09-08-2022","RVG  128055","Trederol 20.000 IE filmomhulde tabletten"
"09-08-2022","RVG  128053","Trederol 5.000 IE filmomhulde tabletten"
"04-08-2022","RVG  128272","Zoanne 2,5 mg/1,5 mg filmomhulde tabletten"
