"Datum","Registratienummer","Productnaam"
"23-03-2022","RVG  129722","Abirateron STADA 250 mg, filmomhulde tabletten"
"23-03-2022","RVG  129723","Abirateron STADA 500 mg, filmomhulde tabletten"
"22-03-2022","RVG  129581//122730","Aktiprol 200 mg tabletten"
"22-03-2022","RVG  129563//122731","Aktiprol 400 mg tabletten"
"22-03-2022","RVG  128056","Anau 100 mg filmomhulde tabletten"
"14-03-2022","RVG  127827","Budesonide Teva 3 mg, harde maagsapresistente capsules"
"23-03-2022","RVG  127539","Clobazam Sandoz tablet 10 mg, tabletten"
"16-03-2022","RVG  128834//17316","Engerix-B 20 microgram/1 ml, suspensie voor injectie"
"17-03-2022","RVG  128902//23013","Forlax 10 g, poeder voor drank in sachet"
"22-03-2022","RVG  129594//33788","GRAZAX 75.000 SQ-T, lyofilisaat voor oraal gebruik"
"22-03-2022","RVG  129726//33788","Grazax 75.000 SQ-T, lyophilisaat voor oraal gebruik"
"18-03-2022","RVG  129547//126820","Hidroferol 0,266 mg zachte capsules"
"22-03-2022","RVG  129571=29569","Hydrochloorthiazide ratiopharm 12,5 mg, tabletten"
"22-03-2022","RVG  129572=09640","Hydrochloorthiazide ratiopharm 25 mg, tabletten"
"22-03-2022","RVG  129588//29963","Inspra 25, filmomhulde tabletten 25 mg"
"23-03-2022","RVG  127289","Lacosamide Aurobindo 150mg, filmomhulde tabletten"
"23-03-2022","RVG  127288","Lacosamide Aurobindo 50 mg, filmomhulde tabletten"
"15-03-2022","RVG  129319//16163","Locoid Crelo, emulsie voor cutaan gebruik 1 mg/g"
"14-03-2022","RVG  126873","Loratadine Accord 10 mg tabletten"
"21-03-2022","RVG  129428//21683","Losec MUPS 10 mg, maagsapresistente tabletten"
"21-03-2022","RVG  129270//21684","Losec MUPS 20 mg, maagsapresistente tabletten"
"21-03-2022","RVG  129505//21684","Losec MUPS 20 mg, maagsapresistente tabletten"
"21-03-2022","RVG  128535//07041","Methylprednisolon Eureco-Pharma 62,5 mg/ml poeder en oplosmiddel voor oplossing voor injectie"
"14-03-2022","RVG  129564//123203","Oestrogel 0,75 mg/dosis, transdermale gel"
"22-03-2022","RVG  129432//30565","Omnic Ocas 0,4, tabletten met verlengde afgifte 0,4 mg"
"16-03-2022","RVG  129399//06150","Orap tabletten 4 mg, tabletten"
"14-03-2022","RVG  127890","Oxcarbazepine ADOH 150 mg, filmomhulde tabletten"
"14-03-2022","RVG  127892","Oxcarbazepine ADOH 300 mg, filmomhulde tabletten"
"14-03-2022","RVG  127893","Oxcarbazepine ADOH 600 mg, filmomhulde tabletten"
"17-03-2022","RVG  129661","Paracetamol PharmaMatch 500 mg, ovaal, tabletten"
"22-03-2022","RVG  127283","Sertraline Amarox 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127281","Sertraline Amarox 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127282","Sertraline Amarox 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  127483","Sitagliptine Sandoz 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127486","Sitagliptine Sandoz 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127489","Sitagliptine Sandoz 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127492","Sitagliptine Sandoz 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127495","Sitagliptine Sandoz 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  127481","Sitagliptine Sandoz 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127484","Sitagliptine Sandoz 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127487","Sitagliptine Sandoz 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127490","Sitagliptine Sandoz 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127493","Sitagliptine Sandoz 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  127482","Sitagliptine Sandoz 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  127485","Sitagliptine Sandoz 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  127488","Sitagliptine Sandoz 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  127491","Sitagliptine Sandoz 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  127494","Sitagliptine Sandoz 50 mg, filmomhulde tabletten"
"22-03-2022","RVG  128884","Sitagliptine Zillen Farma 100 mg, filmomhulde tabletten"
"22-03-2022","RVG  128882","Sitagliptine Zillen Farma 25 mg, filmomhulde tabletten"
"22-03-2022","RVG  128883","Sitagliptine Zillen Farma 50 mg, filmomhulde tabletten"
"21-03-2022","RVG  129402//102458","Tetmodis 25 mg, tabletten"
"14-03-2022","RVG  129398//117734","Voltaren Emulgel Extra Sterk 2,32%, gel"
"17-03-2022","RVG  129578//14635","Zyrtec 1 mg/ml drank"
