"Datum","Registratienummer","Productnaam"
"29-11-2021","RVG  127019","Azacitidine Zentiva 25 mg/ml, poeder voor suspensie voor injectie"
"06-12-2021","RVG  127105","Bupropion HCL 150 mg Focus Care, tabletten met gereguleerde afgifte"
"08-12-2021","RVG  128833//08201","Calcitonine Eureco-Pharma 100 IE/ml, oplossing voor injectie en infusie"
"08-12-2021","RVG  129133//11193","Carnitene 100 mg/ml, drank"
"06-12-2021","RVG  126406","Cyclofosfamide Accord 1000 mg, poeder voor oplossing voor injectie / infusie"
"03-12-2021","RVG  127251","Cyclofosfamide Accord 2000 mg, poeder voor oplossing voor injectie / infusie"
"06-12-2021","RVG  126404","Cyclofosfamide Accord 500 mg, poeder voor oplossing voor injectie / infusie"
"01-12-2021","RVG  126861","Danaparoid natrium Aspen, 750 anti-Xa eenheden/0,6 ml, oplossing voor injectie/infusie"
"02-12-2021","RVG  126735","Desloratadine ADOH 2,5 mg poeder voor orale suspensie"
"02-12-2021","RVG  126736","Desloratadine ADOH 5 mg poeder voor orale suspensie"
"08-12-2021","RVG  128629//17505","Dysport, poeder voor injectievloeistof 500 E"
"07-12-2021","RVG  128842//01155","Endoxan omhulde tablet, omhulde tabletten, 50 mg"
"30-11-2021","RVG  129048//18194","Flixotide Diskus 250 microgram/dosis-inhalatiepoeder, voorverdeeld"
"29-11-2021","RVG  127253","Fluticasonpropionaat Interdos, 50 microgram/dosis, neusspray, suspensie"
"01-12-2021","RVG  129121//09323","Haldol decanoas 100 mg/ml, oplossing voor injectie"
"01-12-2021","RVG  129080//19470","Imigran 20 Neusspray, neusspray 20 mg/dosis"
"02-12-2021","RVG  126915//30197","Leuproreline-acetaat BModesto PDS Depot 1 maand 3,75 mg, poeder en oplosmiddel voor suspensie voor injectie"
"02-12-2021","RVG  129087//24206","Mifegyne, tabletten 200 mg"
"29-11-2021","RVG  128719//20822","Mono-Cedocard Retard 100, capsules met gereguleerde afgifte 100 mg"
"30-11-2021","RVG  129195//30794","Nebido 1000 mg/4 ml, oplossing voor injectie"
"07-12-2021","RVG  129263","Paracetamol Linn 500 mg liquid caps, zachte capsules"
"29-11-2021","RVG  128991//105712","Pentasa 1g, tabletten met verlengde afgifte"
"29-11-2021","RVG  128992//31379","Pentasa Compact 2 g, granulaat met verlengde afgifte"
"30-11-2021","RVG  128994//114015","Pentasa Compact 4 g, granulaat met verlengde afgifte"
"01-12-2021","RVG  128803//00103","Pregnyl 1500 I.E., poeder en oplosmiddel voor oplossing voor injectie"
"01-12-2021","RVG  128805//00104","Pregnyl 5000 I.E., poeder en oplosmiddel voor oplossing voor injectie"
"29-11-2021","RVG  129132//23164","Singulair 10 mg, filmomhulde tabletten"
"29-11-2021","RVG  128530//32909","Transtec 35 µg/uur 4 dagen, pleister voor transdermaal gebruik"
"29-11-2021","RVG  128532//32910","Transtec 52,5 µg/uur 4 dagen, pleister voor transdermaal gebruik"
"29-11-2021","RVG  128531//32911","Transtec 70 µg/uur 4 dagen, pleister voor transdermaal gebruik"
"01-12-2021","RVG  124771","Tranylcypromine Glenmark 10 mg filmomhulde tabletten"
"01-12-2021","RVG  124772","Tranylcypromine Glenmark 20 mg filmomhulde tabletten"
"29-11-2021","RVG  125700","Voriconazol Fosun Pharma 200 mg, poeder voor oplossing voor infusie"
