"Datum","Registratienummer","Productnaam"
"19-01-2022","RVG  127526","Abirateron Zentiva 500 mg filmomhulde tabletten"
"10-01-2022","RVG  126419","Apixaban Mylan 2,5 mg, filmomhulde tabletten"
"10-01-2022","RVG  126420","Apixaban Mylan 5 mg, filmomhulde tabletten"
"10-01-2022","RVG  125884","Carbidopa/Levodopa Fairmed 10 mg/100 mg tabletten"
"10-01-2022","RVG  125883","Carbidopa/Levodopa Fairmed 12,5 mg/50 mg tabletten"
"10-01-2022","RVG  125885","Carbidopa/Levodopa Fairmed 25 mg/100 mg tabletten"
"10-01-2022","RVG  125886","Carbidopa/Levodopa Fairmed 25 mg/250 mg tabletten"
"17-01-2022","RVG  129230//120929","Creon 35.000 eenheden, harde maagsapresistente capsules"
"13-01-2022","RVG  127431","Esomeprazol 10 mg Focus Care, maagsapresistent granulaat voor orale suspensie in sachet"
"19-01-2022","RVG  129232//34610","Foster 100/6 microgram/dosis, aërosol, oplossing"
"19-01-2022","RVG  129233//34610","Foster 100/6 microgram/dosis, aërosol, oplossing"
"17-01-2022","RVG  128688//19048","Gaviscon pepermunt, suspensie"
"18-01-2022","RVG  127341","Lacosamide Mylan 150 mg, filmomhulde tabletten"
"18-01-2022","RVG  127342","Lacosamide Mylan 200 mg, filmomhulde tabletten"
"18-01-2022","RVG  127339","Lacosamide Mylan 50 mg, filmomhulde tabletten"
"18-01-2022","RVG  127447","Meropenem Xiromed 1000 mg, poeder voor oplossing voor injectie of infusie"
"18-01-2022","RVG  127446","Meropenem Xiromed 500 mg, poeder voor oplossing voor injectie of infusie"
"12-01-2022","RVG  129219//33600","Mesalazine BModesto 1200 mg, maagsapresistente tabletten met verlengde afgifte"
"10-01-2022","RVG  128159","Metformine HCl ADOH 500 mg, tabletten met verlengde afgifte"
"11-01-2022","RVG  125406","Methylfenidaat HCl Xiromed 18 mg tabletten met verlengde afgifte"
"11-01-2022","RVG  125407","Methylfenidaat HCl Xiromed 27 mg tabletten met verlengde afgifte"
"11-01-2022","RVG  125408","Methylfenidaat HCl Xiromed 36 mg tabletten met verlengde afgifte"
"11-01-2022","RVG  125409","Methylfenidaat HCl Xiromed 54 mg tabletten met verlengde afgifte"
"12-01-2022","RVG  129251//17497","Neoral 100 mg/ml, drank"
"14-01-2022","RVG  127800","Paracetamol PharmaMatch 500 mg, ovaal, tabletten"
"12-01-2022","RVG  127761","Pazopanib CF 200 mg, filmomhulde tabletten"
"12-01-2022","RVG  127762","Pazopanib CF 400 mg, filmomhulde tabletten"
"10-01-2022","RVG  129209//112405","Ursofalk 500 mg filmomhulde tabletten"
"10-01-2022","RVG  129210//112405","Ursofalk 500 mg filmomhulde tabletten"
"13-01-2022","RVG  126015","Vividrin 0,5 mg/ml, oogdruppels, oplossing"
