"Datum","Registratienummer","Productnaam"
"22-09-2022","RVG  130346//121518","Alutard SQ 2-Huisstofmijten 100.000 SQ-E/ml, suspensie voor injectie"
"22-09-2022","RVG  130334//121512","Alutard SQ 3-Boompollen 100.000 SQ-E/ml, suspensie voor injectie"
"22-09-2022","RVG  128938//22424","Amikacine Eureco-Pharma 500 mg/2 ml oplossing voor injectie"
"26-09-2022","RVG  128198","Axium-Opto 1mg/ml oogdruppels, oplossing in verpakking voor eenmalig gebruik"
"22-09-2022","RVG  129760","Butylscopolamine bromide RIA 10 mg filmomhulde tabletten"
"21-09-2022","RVG  128577","Chloorhexidinedigluconaat 0,5% m/v in Alcohol 70% v/v Added Pharma, oplossing voor cutaan gebruik"
"28-09-2022","RVG  130298//26873","Crestor 20, filmomhulde tabletten 20 mg"
"21-09-2022","RVG  129953//122590","Daptomycine Eureco-Pharma 500 mg poeder voor oplossing voor injectie of infusie"
"21-09-2022","RVG  130256//118544","Decigatan 1,5 mg, tabletten"
"23-09-2022","RVG  126599//24290","Engerix-B Junior 10 microgram/0,5 ml, suspensie voor injectie"
"23-09-2022","RVG  126600//24290","Engerix-B Junior 10 microgram/0,5 ml, suspensie voor injectie"
"19-09-2022","RVG  128827","Fingolimod Sandoz 0,25 mg, harde capsules"
"28-09-2022","RVG  129488//08423","Imodium 0,2 mg/ml drank"
"21-09-2022","RVG  129260//13760","Panzytrat 25.000, maagsapresistente capsules, hard"
"19-09-2022","RVG  127684","Rivaroxaban Amarox 10 mg, filmomhulde tabletten"
"19-09-2022","RVG  127685","Rivaroxaban Amarox 15 mg, filmomhulde tabletten"
"19-09-2022","RVG  127682","Rivaroxaban Amarox 2,5 mg, filmomhulde tabletten"
"19-09-2022","RVG  127686","Rivaroxaban Amarox 20 mg, filmomhulde tabletten"
"19-09-2022","RVG  129684//11469","Salofalk 4 g/60 g, klysma"
"28-09-2022","RVG  130257//113967","Selexid 400 mg filmomhulde tabletten"
"21-09-2022","RVG  129020","Sufentanil Kalceks 5 microgram/ml oplossing voor injectie/infusie"
"21-09-2022","RVG  129021","Sufentanil Kalceks 50 microgram/ml oplossing voor injectie/infusie"
"21-09-2022","RVG  128051","Voquily 1 mg/ml drank"
