"Datum","Registratienummer","Productnaam"
"16-05-2022","RVG  129067//121514","Alutard SQ Berkpollen 100.000 SQ-E/ml, suspensie voor injectie"
"18-05-2022","RVG  129668//124385","Azacitidine Eureco-Pharma 25 mg/ml, poeder voor suspensie voor injectie"
"16-05-2022","RVG  129925//22687","Cipramil 40 mg/ml druppels voor oraal gebruik, oplossing"
"17-05-2022","RVG  127948","Clopidogrel Medical Valley 75 mg filmomhulde tabletten"
"16-05-2022","RVG  129812//13724","Cytotec, tabletten 200 microgram"
"17-05-2022","RVG  126863","Deferasirox Teva 900 mg, filmomhulde tabletten"
"16-05-2022","RVG  129511//101919","Glepark 0,35 mg tabletten"
"16-05-2022","RVG  129421//09323","Haldol decanoas 100 mg/ml, oplossing voor injectie"
"18-05-2022","RVG  128669","Iopamidol ADOH 408 mg/ml (200 mg jodium/ml), oplossing voor injectie"
"16-05-2022","RVG  128260","Sereflo Ciphaler 50 microgram / 500 microgram per dosis, voorverdeeld inhalatiepoeder"
"18-05-2022","RVG  129912//125662","Vitamine D3 BModesto 25.000 IE, tabletten"
"18-05-2022","RVG  129911//125659","Vitamine D3 BModesto 5.600 IE, tabletten"
"17-05-2022","RVG  129814//18562","Zoladex 10,8, implantatiestaafje 10,8 mg"
"17-05-2022","RVG  129823//12277","Zoladex 3,6, implantatiestaafje 3,6 mg"
