"Datum","Registratienummer","Productnaam"
"24-11-2021","RVG  128962//16617","Adenosine Eureco-Pharma, injectievloeistof voor intraveneuze toediening 3 mg/ml"
"25-11-2021","RVG  125832","Atorvastatine Amarox 10 mg filmomhulde tabletten"
"25-11-2021","RVG  125833","Atorvastatine Amarox 20 mg filmomhulde tabletten"
"25-11-2021","RVG  125834","Atorvastatine Amarox 40 mg filmomhulde tabletten"
"25-11-2021","RVG  125835","Atorvastatine Amarox 80 mg filmomhulde tabletten"
"29-11-2021","RVG  127019","Azacitidine Zentiva 25 mg/ml, poeder voor suspensie voor injectie"
"23-11-2021","RVG  129062//123565","Dailiport 0,5 mg, harde capsules met verlengde afgifte"
"23-11-2021","RVG  129063//123565","Dailiport 0,5 mg, harde capsules met verlengde afgifte"
"23-11-2021","RVG  129064//123566","Dailiport 1 mg, harde capsules met verlengde afgifte"
"23-11-2021","RVG  129040//123567","Dailiport 2 mg, harde capsules met verlengde afgifte"
"01-12-2021","RVG  126861","Danaparoid natrium Aspen, 750 anti-Xa eenheden/0,6 ml, oplossing voor injectie/infusie"
"24-11-2021","RVG  125117","Dexamethasonfosfaat hameln 4 mg/ml oplossing voor injectie"
"23-11-2021","RVG  128953//17505","Dysport 500 E, poeder voor injectievloeistof"
"23-11-2021","RVG  128955//17505","Dysport 500 E, poeder voor injectievloeistof"
"22-11-2021","RVG  128623//17505","Dysport, poeder voor injectievloeistof 500 E"
"23-11-2021","RVG  128683//20863","Efexor XR 150, capsules met verlengde afgifte, hard, 150 mg"
"24-11-2021","RVG  126649","Fampridine Teva 10 mg, tabletten met verlengde afgifte"
"22-11-2021","RVG  127474","Fentanyl Glenmark 100 microgram, tabletten voor sublinguaal gebruik"
"22-11-2021","RVG  127475","Fentanyl Glenmark 200 microgram, tabletten voor sublinguaal gebruik"
"22-11-2021","RVG  127476","Fentanyl Glenmark 300 microgram, tabletten voor sublinguaal gebruik"
"22-11-2021","RVG  127477","Fentanyl Glenmark 400 microgram, tabletten voor sublinguaal gebruik"
"22-11-2021","RVG  127478","Fentanyl Glenmark 600 microgram, tabletten voor sublinguaal gebruik"
"22-11-2021","RVG  127479","Fentanyl Glenmark 800 microgram, tabletten voor sublinguaal gebruik"
"30-11-2021","RVG  129048//18194","Flixotide Diskus 250 microgram/dosis-inhalatiepoeder, voorverdeeld"
"29-11-2021","RVG  127253","Fluticasonpropionaat Interdos, 50 microgram/dosis, neusspray, suspensie"
"22-11-2021","RVG  129086//23013","Forlax 10 g, poeder voor drank in sachet"
"01-12-2021","RVG  129121//09323","Haldol decanoas 100 mg/ml, oplossing voor injectie"
"24-11-2021","RVG  125165","Ibuprofen Liquid Caps Auro 400 mg, zachte capsules"
"01-12-2021","RVG  129080//19470","Imigran 20 Neusspray, neusspray 20 mg/dosis"
"26-11-2021","RVG  127308","Lenalidomide Aurobindo 10 mg, harde capsules"
"26-11-2021","RVG  127309","Lenalidomide Aurobindo 15 mg, harde capsules"
"26-11-2021","RVG  127305","Lenalidomide Aurobindo 2,5 mg, harde capsules"
"26-11-2021","RVG  127310","Lenalidomide Aurobindo 20 mg, harde capsules"
"26-11-2021","RVG  127311","Lenalidomide Aurobindo 25 mg, harde capsules"
"26-11-2021","RVG  127306","Lenalidomide Aurobindo 5 mg, harde capsules"
"26-11-2021","RVG  127307","Lenalidomide Aurobindo 7,5 mg, harde capsules"
"23-11-2021","RVG  126296","Meropenem Venus Pharma 1000 mg poeder voor oplossing voor injectie/infusie"
"23-11-2021","RVG  126299","Meropenem Venus Pharma 2000 mg poeder voor oplossing voor injectie/infusie"
"23-11-2021","RVG  126294","Meropenem Venus Pharma 500 mg poeder voor oplossing voor injectie/infusie"
"29-11-2021","RVG  128719//20822","Mono-Cedocard Retard 100, capsules met gereguleerde afgifte 100 mg"
"30-11-2021","RVG  129195//30794","Nebido 1000 mg/4 ml, oplossing voor injectie"
"24-11-2021","RVG  128454//00278","Orgametril 5 mg, tabletten"
"29-11-2021","RVG  128991//105712","Pentasa 1g, tabletten met verlengde afgifte"
"29-11-2021","RVG  128992//31379","Pentasa Compact 2 g, granulaat met verlengde afgifte"
"30-11-2021","RVG  128994//114015","Pentasa Compact 4 g, granulaat met verlengde afgifte"
"23-11-2021","RVG  129193//115340","Pneumovax 23, oplossing voor injectie in een voorgevulde spuit"
"01-12-2021","RVG  128803//00103","Pregnyl 1500 I.E., poeder en oplosmiddel voor oplossing voor injectie"
"01-12-2021","RVG  128805//00104","Pregnyl 5000 I.E., poeder en oplosmiddel voor oplossing voor injectie"
"24-11-2021","RVG  126645","Rosuvastatine SUN 10 mg harde capsules"
"24-11-2021","RVG  126646","Rosuvastatine SUN 20 mg harde capsules"
"24-11-2021","RVG  126647","Rosuvastatine SUN 40 mg harde capsules"
"24-11-2021","RVG  126644","Rosuvastatine SUN 5 mg harde capsules"
"25-11-2021","RVG  129068//18150","Serevent 50 Diskus, inhalatiepoeder 50 microgram/dosis, voorverdeeld"
"25-11-2021","RVG  128394","Sildenafil Aristo 100 mg filmomhulde tabletten"
"25-11-2021","RVG  128392","Sildenafil Aristo 25 mg filmomhulde tabletten"
"25-11-2021","RVG  128393","Sildenafil Aristo 50 mg filmomhulde tabletten"
"29-11-2021","RVG  129132//23164","Singulair 10 mg, filmomhulde tabletten"
"25-11-2021","RVG  129082//116348","Symbicort aërosol 200/6, 200 microgram / 6 microgram per dosis, aërosol, suspensie"
"29-11-2021","RVG  128530//32909","Transtec 35 µg/uur 4 dagen, pleister voor transdermaal gebruik"
"29-11-2021","RVG  128532//32910","Transtec 52,5 µg/uur 4 dagen, pleister voor transdermaal gebruik"
"29-11-2021","RVG  128531//32911","Transtec 70 µg/uur 4 dagen, pleister voor transdermaal gebruik"
"01-12-2021","RVG  124771","Tranylcypromine Glenmark 10 mg filmomhulde tabletten"
"01-12-2021","RVG  124772","Tranylcypromine Glenmark 20 mg filmomhulde tabletten"
"24-11-2021","RVG  128189//31377","Voltaren Emulgel 1.16 % gel, gel 11.6 mg/g"
"24-11-2021","RVG  128190//117734","Voltaren Emulgel Extra Sterk 2,32% gel"
"29-11-2021","RVG  125700","Voriconazol Fosun Pharma 200 mg, poeder voor oplossing voor infusie"
