"Datum","Registratienummer","Productnaam"
"06-01-2022","RVG  129250//09078","Androcur 10, tabletten 10 mg"
"03-01-2022","RVG  125872","Apixaban CF 2,5 mg, filmomhulde tabletten"
"03-01-2022","RVG  125873","Apixaban CF 5 mg, filmomhulde tabletten"
"10-01-2022","RVG  126419","Apixaban Mylan 2,5 mg, filmomhulde tabletten"
"10-01-2022","RVG  126420","Apixaban Mylan 5 mg, filmomhulde tabletten"
"10-01-2022","RVG  125884","Carbidopa/Levodopa Fairmed 10 mg/100 mg tabletten"
"10-01-2022","RVG  125883","Carbidopa/Levodopa Fairmed 12,5 mg/50 mg tabletten"
"10-01-2022","RVG  125885","Carbidopa/Levodopa Fairmed 25 mg/100 mg tabletten"
"10-01-2022","RVG  125886","Carbidopa/Levodopa Fairmed 25 mg/250 mg tabletten"
"04-01-2022","RVG  128322//13157","Depakine Chrono 300, tabletten met gereguleerde afgifte 300 mg"
"03-01-2022","RVG  127837","Exametazime Radiopharmacy 0,5 mg kit voor radiofarmaceutisch preparaat"
"04-01-2022","RVG  127923","Fingolimod Devatis 0,25 mg, harde capsules"
"04-01-2022","RVG  127924","Fingolimod Devatis 0,5 mg, harde capsules"
"05-01-2022","RVG  127548","Lorazepam Medochemie Bohemia 4 mg/ml, oplossing voor injectie"
"12-01-2022","RVG  129219//33600","Mesalazine BModesto 1200 mg, maagsapresistente tabletten met verlengde afgifte"
"10-01-2022","RVG  128159","Metformine HCl ADOH 500 mg, tabletten met verlengde afgifte"
"11-01-2022","RVG  125406","Methylfenidaat HCl Xiromed 18 mg tabletten met verlengde afgifte"
"11-01-2022","RVG  125407","Methylfenidaat HCl Xiromed 27 mg tabletten met verlengde afgifte"
"11-01-2022","RVG  125408","Methylfenidaat HCl Xiromed 36 mg tabletten met verlengde afgifte"
"11-01-2022","RVG  125409","Methylfenidaat HCl Xiromed 54 mg tabletten met verlengde afgifte"
"12-01-2022","RVG  129251//17497","Neoral 100 mg/ml, drank"
"07-01-2022","RVG  125452","Palmeux 100 mg suspensie voor injectie met verlengde afgifte in een voorgevulde spuit"
"07-01-2022","RVG  125453","Palmeux 150 mg suspensie voor injectie met verlengde afgifte in een voorgevulde spuit"
"07-01-2022","RVG  125449","Palmeux 25 mg suspensie voor injectie met verlengde afgifte in een voorgevulde spuit"
"07-01-2022","RVG  125450","Palmeux 50 mg suspensie voor injectie met verlengde afgifte in een voorgevulde spuit"
"07-01-2022","RVG  125451","Palmeux 75 mg suspensie voor injectie met verlengde afgifte in een voorgevulde spuit"
"12-01-2022","RVG  127761","Pazopanib CF 200 mg, filmomhulde tabletten"
"12-01-2022","RVG  127762","Pazopanib CF 400 mg, filmomhulde tabletten"
"03-01-2022","RVG  128702//115471","RXT nicotine kauwgom  mint 2 mg"
"03-01-2022","RVG  128703//115472","RXT nicotine kauwgom mint 4 mg"
"10-01-2022","RVG  129209//112405","Ursofalk 500 mg filmomhulde tabletten"
"10-01-2022","RVG  129210//112405","Ursofalk 500 mg filmomhulde tabletten"
"06-01-2022","RVG  126375","ZETIVASIM 10 mg/10 mg, tabletten"
"06-01-2022","RVG  126376","ZETIVASIM 10 mg/20 mg, tabletten"
"06-01-2022","RVG  126377","ZETIVASIM 10 mg/40 mg, tabletten"
"06-01-2022","RVG  126378","ZETIVASIM 10 mg/80 mg, tabletten"
