"Datum","Registratienummer","Productnaam"
"08-02-2022","RVG  129256//121482","Alutard SQ Wespengif 100.000 SQ-E/ml, suspensie voor injectie"
"31-01-2022","RVG  129296//31633","Alvesco 160 Inhalator, oplossing 160 microgram/dosis, aërosol"
"01-02-2022","RVG  127011","Betahistine Amarox 16 mg, tabletten"
"01-02-2022","RVG  127012","Betahistine Amarox 24 mg, tabletten"
"01-02-2022","RVG  127009","Betahistine Amarox 8 mg, tabletten"
"03-02-2022","RVG  129440","Cholecalciferol Vianex 10 000 IE, zachte capsules"
"03-02-2022","RVG  129441","Cholecalciferol Vianex 20 000 IE, zachte capsules"
"04-02-2022","RVG  129111//16055","Creon 25.000 eenheden, harde maagsapresistente capsules"
"04-02-2022","RVG  129176//16055","Creon 25.000 eenheden, harde maagsapresistente capsules"
"04-02-2022","RVG  129180//16055","Creon 25.000 eenheden, harde maagsapresistente capsules"
"08-02-2022","RVG  128520//120929","Creon 35.000 eenheden, harde maagsapresistente capsules"
"01-02-2022","RVG  128838","Docetaxel Seacross 20 mg/ml concentraat voor oplossing voor infusie"
"31-01-2022","RVG  126178","Enalaprilmaleaat Accord 10 mg tabletten"
"31-01-2022","RVG  126179","Enalaprilmaleaat Accord 20 mg tabletten"
"31-01-2022","RVG  126177","Enalaprilmaleaat Accord 5 mg tabletten"
"07-02-2022","RVG  129275//25549","Femoston continu 1 mg/5 mg, filmomhulde tabletten"
"08-02-2022","RVG  129240//107242","Flutiform 125 microgram / 5 microgram / dosis aërosol, suspensie"
"08-02-2022","RVG  129246//107243","Flutiform 250 microgram / 10 microgram / dosis aërosol, suspensie"
"08-02-2022","RVG  129414//03185","Haldol 5 mg/ml, oplossing voor injectie"
"07-02-2022","RVG  129252//18051","Ostac 520, filmomhulde tabletten 520 mg"
"08-02-2022","RVG  129286//105712","Pentasa 1 g, tabletten met verlengde afgifte"
"08-02-2022","RVG  129490//23531","Seretide Diskus 50 microgram/500 microgram/dosis - inhalatiepoeder, voorverdeeld"
"02-02-2022","RVG  126702","Sitagliptine/Metformine Teva 50 mg/1000 mg, filmomhulde tabletten"
"02-02-2022","RVG  126697","Sitagliptine/Metformine Teva 50 mg/850 mg, filmomhulde tabletten"
"09-02-2022","RVG  129492//19922","Zofran 4 mg/5 ml, stroop"
