"Datum","Registratienummer","Productnaam"
"15-02-2022","RVG  126642","Acetylsalicylzuur ratiopharm 500 mg, tabletten"
"14-02-2022","RVG  129412//31633","Alvesco 160 Inhalator, aërosol, oplossing 160 microgram/dosis"
"21-02-2022","RVG  129155//122729","Amisulpride ERC 100 mg, tabletten"
"21-02-2022","RVG  129154//122727","Amisulpride ERC 50 mg, tabletten"
"21-02-2022","&nbspRVG  126265","Atgam 50 mg/ml concentraat voor oplossing voor infusie"
"16-02-2022","RVG  127821","Cinacalcet Glenmark 30 mg filmomhulde tabletten"
"16-02-2022","RVG  127822","Cinacalcet Glenmark 60 mg filmomhulde tabletten"
"16-02-2022","RVG  127823","Cinacalcet Glenmark 90 mg filmomhulde tabletten"
"21-02-2022","RVG  126160","Clobazam Essential Pharmaceuticals 1 mg/ml, suspensie voor oraal gebruik"
"14-02-2022","RVG  129287//22626","Colofort, poeder voor drank in sachet 74 g"
"17-02-2022","RVG  128889","Comboval 10 mg/ml + 3 mg/ml oplossing voor infusie"
"23-02-2022","RVG  128737//12093","Condyline 0,5%, applicatievloeistof 5 mg / ml"
"23-02-2022","RVG  129422//118749","Cyclogest 400 mg, ovule"
"23-02-2022","RVG  126761","Dabiperel 110 mg harde capsules"
"23-02-2022","RVG  126762","Dabiperel 150 mg harde capsules"
"23-02-2022","RVG  126760","Dabiperel 75 mg harde capsules"
"23-02-2022","RVG  129411//03984","Desferal, poeder voor oplossing voor injectie of infusie 500 mg"
"22-02-2022","RVG  129244//124489","Elvanse 30 mg, harde capsules"
"22-02-2022","RVG  129245//124496","Elvanse 50 mg, harde capsules"
"22-02-2022","RVG  129234//124497","Elvanse 70 mg, harde capsules"
"15-02-2022","RVG  128483//16213","Flixotide 125 Inhalator CFK-vrij, aërosol, suspensie 125 microgram/dosis"
"15-02-2022","RVG  129288//03186","Haldol 2 mg/ml, drank"
"21-02-2022","RVG  126831","Hydrocortison Tiofarma 1 mg, filmomhulde tabletten"
"21-02-2022","RVG  126834","Hydrocortison Tiofarma 10 mg, filmomhulde tabletten"
"21-02-2022","RVG  126832","Hydrocortison Tiofarma 2 mg, filmomhulde tabletten"
"21-02-2022","RVG  126835","Hydrocortison Tiofarma 20 mg, filmomhulde tabletten"
"21-02-2022","RVG  126833","Hydrocortison Tiofarma 5 mg, filmomhulde tabletten"
"16-02-2022","RVG  127080","Icatibant Fresenius 30 mg oplossing voor injectie in een voorgevulde spuit"
"15-02-2022","RVG  126966","Iloprost Eureco-Pharma 0,1 mg/ml, concentraat voor oplossing voor infusie"
"17-02-2022","RVG  129400//29413","Imigran FTAB 50, dispergeerbare tabletten 50 mg"
"22-02-2022","RVG  127344","Levothyroxinenatrium Aristo 125 microgram, tabletten"
"22-02-2022","RVG  127345","Levothyroxinenatrium Aristo 150 microgram, tabletten"
"22-02-2022","RVG  127343","Levothyroxinenatrium Aristo 75 microgram, tabletten"
"15-02-2022","RVG  129300//11605","Madopar 250 mg, tabletten"
"15-02-2022","RVG  129301//11605","Madopar 250 mg, tabletten"
"15-02-2022","RVG  129306//11605","Madopar 250 mg, tabletten"
"16-02-2022","RVG  129401//21818","Maxalt Smelt 10 mg, smelttabletten"
"16-02-2022","RVG  129284//13103","Neotigason 10 mg, capsules"
"23-02-2022","RVG  127735","Olmehyd 20 mg/12,5 mg, filmomhulde tabletten"
"23-02-2022","RVG  127736","Olmehyd 20 mg/25 mg, filmomhulde tabletten"
"23-02-2022","RVG  127737","Olmehyd 40 mg/12,5 mg, filmomhulde tabletten"
"23-02-2022","RVG  127738","Olmehyd 40 mg/25 mg, filmomhulde tabletten"
"21-02-2022","RVG  128524//18300","Pantozol 40, maagsapresistente tabletten 40 mg"
"21-02-2022","RVG  129585","Paracetamol PharmaMatch 500 mg ovaal, tabletten"
"16-02-2022","RVG  126624","Pemetrexed Zentiva 10 mg/ml oplossing voor infusie"
"22-02-2022","RVG  128853","Pregabaline Reddy 100 mg harde capsules"
"22-02-2022","RVG  128854","Pregabaline Reddy 150 mg harde capsules"
"22-02-2022","RVG  128855","Pregabaline Reddy 200 mg harde capsules"
"22-02-2022","RVG  128856","Pregabaline Reddy 225 mg harde capsules"
"22-02-2022","RVG  128847","Pregabaline Reddy 25 mg harde capsules"
"22-02-2022","RVG  128858","Pregabaline Reddy 300 mg harde capsules"
"22-02-2022","RVG  128851","Pregabaline Reddy 50 mg harde capsules"
"22-02-2022","RVG  128852","Pregabaline Reddy 75 mg harde capsules"
"14-02-2022","RVG  129395//103823","SAFLUTAN 15 microgram/ml oogdruppels, oplossing, verpakking voor eenmalig gebruik"
"16-02-2022","RVG  126678","Salmeterol/Fluticasonpropionaat Genetic 25 microgram/125 microgram/dosis aërosol, suspensie"
"16-02-2022","RVG  126679","Salmeterol/Fluticasonpropionaat Genetic 25 microgram/250 microgram/dosis aërosol, suspensie"
"16-02-2022","RVG  126677","Salmeterol/Fluticasonpropionaat Genetic 25 microgram/50 microgram/dosis aërosol, suspensie"
"15-02-2022","RVG  129274//20827","Seroquel 100 mg, filmomhulde tabletten"
"16-02-2022","RVG  129317//10036","Sirdalud 2 mg, tabletten"
"16-02-2022","RVG  129316//10037","Sirdalud 4 mg, tabletten"
"14-02-2022","RVG  129388//25837","Topamax Sprinkle 25 mg, harde capsules"
"17-02-2022","RVG  129283//100081","Vincristinesulfaat Eureco-Pharma 1 mg/ml, oplossing voor injectie"
"14-02-2022","RVG  129265//19922","Zofran stroop, stroop 4 mg/ 5 ml"
