"Datum","Registratienummer","Productnaam"
"24-09-2021","RVG  125876","Abatixent 2,5 mg filmomhulde tabletten"
"24-09-2021","RVG  125877","Abatixent 5 mg filmomhulde tabletten"
"28-09-2021","RVG  128845//25415","Almogran 12,5mg, filmomhulde tablet"
"24-09-2021","RVG  125879","Apixaban 1A Pharma 2,5 mg, filmomhulde tabletten"
"24-09-2021","RVG  125880","Apixaban 1A Pharma 5 mg, filmomhulde tabletten"
"24-09-2021","RVG  125881","Apixaban Hexal 2,5 mg, filmomhulde tabletten"
"24-09-2021","RVG  125882","Apixaban Hexal 5 mg, filmomhulde tabletten"
"24-09-2021","RVG  125874","Apixaban Sandoz 2,5 mg, filmomhulde tabletten"
"24-09-2021","RVG  125875","Apixaban Sandoz 5 mg, filmomhulde tabletten"
"04-10-2021","RVG  126763","Citalopram Amarox 10 mg filmomhulde tabletten"
"04-10-2021","RVG  126764","Citalopram Amarox 20 mg filmomhulde tabletten"
"04-10-2021","RVG  126765","Citalopram Amarox 30 mg filmomhulde tabletten"
"04-10-2021","RVG  126766","Citalopram Amarox 40 mg filmomhulde tabletten"
"24-09-2021","RVG  127471","Dexmedetomidine Kabi 100 microgram/ml concentraat voor oplossing voor infusie"
"04-10-2021","RVG  126838","Fesoterodine Aristo 4 mg, tabletten met verlengde afgifte"
"04-10-2021","RVG  126843","Fesoterodine Aristo 8 mg, tabletten met verlengde afgifte"
"30-09-2021","RVG  127025","Fingolimod Aurobindo 0,5mg, harde capsules"
"06-10-2021","RVG  128157//16213","Flixotide 125 Inhalator CFK-vrij, aërosol 125 microgram/dosis"
"06-10-2021","RVG  128156//16214","Flixotide 250 Inhalator CFK-vrij, aërosol 250 microgram/dosis"
"29-09-2021","RVG  128697//28913","Forlax Junior 4 g, poeder voor drank in sachet"
"06-10-2021","RVG  127030","Gabapentine Amarox 100 mg, harde capsules"
"06-10-2021","RVG  127031","Gabapentine Amarox 300 mg, harde capsules"
"06-10-2021","RVG  127032","Gabapentine Amarox 400 mg, harde capsules"
"24-09-2021","RVG  126291","Imeros 3% w/v oplossing voor injectie"
"28-09-2021","RVG  128840//13827","Lopid 600 mg, filmomhulde tabletten"
"04-10-2021","RVG  128672//23013","Macrogol Top-Pharma 10 g, poeder voor drank in sachet"
"27-09-2021","RVG  128505//34027","Medikinet CR 10 mg capsules met gereguleerde afgifte, hard"
"27-09-2021","RVG  128506//34028","Medikinet CR 20 mg capsules met gereguleerde afgifte, hard"
"27-09-2021","RVG  128507//34029","Medikinet CR 30 mg capsules met gereguleerde afgifte, hard"
"27-09-2021","RVG  128508//34030","Medikinet CR 40 mg capsules met gereguleerde afgifte, hard"
"04-10-2021","RVG  126308","Melfalan Amarox 50 mg poeder en oplosmiddel voor oplossing voor injectie/infusie"
"06-10-2021","RVG  128746//34072","Moviprep, poeder voor drank"
"01-10-2021","RVG  127784","Paliperidon Teva 100 mg, suspensie voor injectie met verlengde afgifte"
"01-10-2021","RVG  127786","Paliperidon Teva 150 mg en 100 mg, suspensie voor injectie met verlengde afgifte"
"01-10-2021","RVG  127785","Paliperidon Teva 150 mg, suspensie voor injectie met verlengde afgifte"
"01-10-2021","RVG  127781","Paliperidon Teva 25 mg, suspensie voor injectie met verlengde afgifte"
"01-10-2021","RVG  127782","Paliperidon Teva 50 mg, suspensie voor injectie met verlengde afgifte"
"01-10-2021","RVG  127783","Paliperidon Teva 75 mg, suspensie voor injectie met verlengde afgifte"
"27-09-2021","RVG  126869","Paracetamol Pharmaclan 500 mg filmomhulde tabletten"
"27-09-2021","RVG  126158","Perindopril tosilaat/Amlodipine Teva 10 mg/10 mg, tabletten"
"27-09-2021","RVG  126157","Perindopril tosilaat/Amlodipine Teva 10 mg/5 mg, tabletten"
"27-09-2021","RVG  126156","Perindopril tosilaat/Amlodipine Teva 5 mg/10 mg, tabletten"
"27-09-2021","RVG  126155","Perindopril tosilaat/Amlodipine Teva 5 mg/5 mg, tabletten"
"22-09-2021","RVG  128801//05352","Symmetrel 100 mg, zachte capsules"
"28-09-2021","RVG  127472//115752","Tracydal 20 mg, filmomhulde tabletten"
