"Datum","Registratienummer","Productnaam"
"15-04-2022","RVG  129791//122730","Amisulpride ERC 200 mg, tabletten"
"15-04-2022","RVG  129793//122731","Amisulpride ERC 400 mg, filmomhulde tabletten"
"14-04-2022","RVG  129199//11651","Bactroban Huidzalf 2%,  hydrofiele zalf 20 mg/g"
"19-04-2022","RVG  128292//03837","Buscopan, injectievloeistof 20 mg/ml"
"19-04-2022","RVG  128296//03837","Buscopan, injectievloeistof 20 mg/ml"
"12-04-2022","RVG  127744","Clozapine Aristo 100 mg, tabletten"
"12-04-2022","RVG  127745","Clozapine Aristo 200 mg, tabletten"
"12-04-2022","RVG  127742","Clozapine Aristo 25 mg, tabletten"
"12-04-2022","RVG  127743","Clozapine Aristo 50 mg, tabletten"
"15-04-2022","RVG  127852","Dapagliflozine Macleods 10 mg filmomhulde tabletten"
"15-04-2022","RVG  127851","Dapagliflozine Macleods 5 mg filmomhulde tabletten"
"13-04-2022","RVG  129751//129244","Elvanse 50 mg, harde capsules"
"13-04-2022","RVG  129686//11619","Fevarin 100 mg, filmomhulde tabletten"
"12-04-2022","RVG  128197","Fingolimod Reddy 0,5 mg harde capsules"
"11-04-2022","RVG  128186","Icatibant Ethypharm 30 mg oplossing voor injectie in een voorgevulde spuit"
"11-04-2022","RVG  128187","Icatibant Sandoz 30 mg, oplossing voor injectie in een voorgevulde spuit"
"11-04-2022","RVG  127078","Icatibant Universal Farma 30 mg oplossing voor injectie in een voorgevulde spuit"
"12-04-2022","RVG  128930","Ivermectine ratiopharm 3 mg, tabletten"
"12-04-2022","RVG  118763","Ivermectine Sigillata 3 mg tabletten"
"11-04-2022","RVG  128238","Kisilea 30 mg, oplossing voor injectie in een voorgevulde spuit"
"14-04-2022","RVG  129783=26332","Lisinopril ratiopharm 10 mg, tabletten"
"14-04-2022","RVG  129784=26333","Lisinopril ratiopharm 20 mg, tabletten"
"14-04-2022","RVG  129781=26331","Lisinopril ratiopharm 5 mg, tabletten"
"12-04-2022","RVG  128929","Manburesa 3 mg tabletten"
"11-04-2022","RVG  129315//22084","Pantozol i.v., poeder voor oplossing voor injectie 40 mg"
"14-04-2022","RVG  129272//18706","Pentasa Compact 1g, granulaat met verlengde afgifte"
"12-04-2022","RVG  129495//28131","Salofalk 1000 mg Granu-Stix, maagsapresistent granulaat met verlengde afgifte"
"11-04-2022","RVG  128069","Sipactimet 50mg/1000 mg, filmomhulde tabletten"
"11-04-2022","RVG  128068","Sipactimet 50mg/850 mg, filmomhulde tabletten"
"11-04-2022","RVG  127561","Sitagliptine/Metformine HCl Sandoz 50mg/1000 mg, filmomhulde tabletten"
"11-04-2022","RVG  127563","Sitagliptine/Metformine HCl Sandoz 50mg/1000 mg, filmomhulde tabletten"
"11-04-2022","RVG  127567","Sitagliptine/Metformine HCl Sandoz 50mg/1000 mg, filmomhulde tabletten"
"11-04-2022","RVG  127569","Sitagliptine/Metformine HCl Sandoz 50mg/1000 mg, filmomhulde tabletten"
"11-04-2022","RVG  127570","Sitagliptine/Metformine HCl Sandoz 50mg/1000 mg, filmomhulde tabletten"
"11-04-2022","RVG  127554","Sitagliptine/Metformine HCl Sandoz 50mg/850 mg, filmomhulde tabletten"
"11-04-2022","RVG  127562","Sitagliptine/Metformine HCl Sandoz 50mg/850 mg, filmomhulde tabletten"
"11-04-2022","RVG  127566","Sitagliptine/Metformine HCl Sandoz 50mg/850 mg, filmomhulde tabletten"
"11-04-2022","RVG  127568","Sitagliptine/Metformine HCl Sandoz 50mg/850 mg, filmomhulde tabletten"
"11-04-2022","RVG  127571","Sitagliptine/Metformine HCl Sandoz 50mg/850 mg, filmomhulde tabletten"
"11-04-2022","RVG  128881","Sitagliptine/Metformine hydrochloride Zillen Farma 50mg/1000 mg, filmomhulde tabletten"
"11-04-2022","RVG  128880","Sitagliptine/Metformine hydrochloride Zillen Farma 50mg/850 mg, filmomhulde tabletten"
"11-04-2022","RVG  129302","Tektrotyd 20 microgram kit voor radiofarmaceutisch preparaat"
"14-04-2022","RVG  127411","Treprostinil Reddy 1 mg/ml, oplossing voor infusie"
"14-04-2022","RVG  127414","Treprostinil Reddy 10 mg/ml, oplossing voor infusie"
"14-04-2022","RVG  127412","Treprostinil Reddy 2,5 mg/ml, oplossing voor infusie"
"14-04-2022","RVG  127413","Treprostinil Reddy 5 mg/ml, oplossing voor infusie"
"12-04-2022","RVG  128928","Trismefa 3 mg tabletten"
"11-04-2022","RVG  129593//07831","Xylocaine 100 mg/ml spray"
