"Datum","Registratienummer","Productnaam"
"21-12-2021","RVG  128691","Alutard SQ Phleum pratense 10.000 SQ-E/ml, suspensie voor injectie"
"21-12-2021","RVG  128693","Alutard SQ Phleum pratense 100 -100.000 SQ-E/ml, suspensie voor injectie"
"21-12-2021","RVG  128692","Alutard SQ Phleum pratense 100.000 SQ-E/ml, suspensie voor injectie"
"14-12-2021","RVG  129229//31994","Atimos 12 microgram, aërosol, oplossing"
"15-12-2021","RVG  124779","Cabazitaxel MSN 60 mg concentraat en oplosmiddel voor oplossing voor infusie"
"15-12-2021","RVG  124781","Cabazitaxel MSN 60 mg concentraat en oplosmiddel voor oplossing voor infusie"
"21-12-2021","RVG  126611","Cifoban 136 mmol/l oplossing voor infusie"
"15-12-2021","RVG  128730//10656","Creon 10.000 eenheden, harde maagsapresistente capsules"
"20-12-2021","RVG  128444//16055","Creon 25.000, harde maagsapresistente capsules 25.000 eenheden"
"15-12-2021","RVG  128816//120929","Creon 35.000 eenheden, harde maagsapresistente capsules"
"16-12-2021","RVG  125426","Deferasirox Xiromed 180 mg filmomhulde tabletten"
"16-12-2021","RVG  125427","Deferasirox Xiromed 360 mg filmomhulde tabletten"
"16-12-2021","RVG  125425","Deferasirox Xiromed 90 mg filmomhulde tabletten"
"13-12-2021","RVG  125732","Etoposide Hikma 20 mg/ml concentraat voor oplossing voor infusie"
"15-12-2021","RVG  125998//18195","Flixotide Diskus 500 microgram/dosis-inhalatiepoeder, voorverdeeld"
"14-12-2021","RVG  128580//18195","Flixotide Diskus 500 microgram/dosis-inhalatiepoeder, voorverdeeld"
"16-12-2021","RVG  129041//18195","Flixotide Diskus 500 microgram/dosis-inhalatiepoeder, voorverdeeld"
"21-12-2021","RVG  128567//03186","Haloperidol Eureco-Pharma 2mg/ml, drank"
"21-12-2021","RVG  127367","JANECLUC 50 mg/1000 mg filmomhulde tabletten"
"21-12-2021","RVG  127366","JANECLUC 50 mg/850 mg filmomhulde tabletten"
"22-12-2021","RVG  126362","Janeo 100 mg, filmomhulde tabletten"
"22-12-2021","RVG  126361","Janeo 50 mg, filmomhulde tabletten"
"16-12-2021","RVG  129060//114598","Metamizol Eureco-Pharma 500 mg/ml, oplossing voor injectie"
"16-12-2021","RVG  126651","Moxifloxacine Stulln 5 mg/ml oogdruppels, oplossing"
"16-12-2021","RVG  126652","Moxifloxacine Stulln zonder conserveermiddel 5 mg/ml, oogdruppels, oplossing in verpakking voor éénmalig gebruik"
"16-12-2021","RVG  129162//08996","Nalador-500, poeder voor oplossing voor infusie 500 mcg"
"22-12-2021","RVG  127007","Nebivolol Accord 2,5 mg tabletten"
"22-12-2021","RVG  127010","Nebivolol Accord 5 mg tabletten"
"15-12-2021","RVG  129141//25388","Nexium 40 mg, maagsapresistente tabletten 40 mg"
"14-12-2021","RVG  126289","Noradrenaline SUN 0,5 mg/ml oplossing voor infusie in een voorgevulde spuit"
"16-12-2021","RVG  124858//14141","Norgalax 0,12 g/10 g, gel voor rectaal gebruik"
"14-12-2021","RVG  129103//26303","Somatuline AutoSolution 120 mg, oplossing voor injectie in een voorgevulde spuit"
"21-12-2021","RVG  128747","Tardyferon 80 mg tabletten met verlengde afgifte"
"14-12-2021","RVG  128419//117734","Voltaren Emulgel Extra Sterk 2,32%, gel"
