"Datum","Registratienummer","Productnaam"
"27-01-2022","RVG  129292//31633","Alvesco 160 Inhalator, oplossing 160 microgram/dosis, aërosol"
"31-01-2022","RVG  129296//31633","Alvesco 160 Inhalator, oplossing 160 microgram/dosis, aërosol"
"01-02-2022","RVG  127011","Betahistine Amarox 16 mg, tabletten"
"01-02-2022","RVG  127012","Betahistine Amarox 24 mg, tabletten"
"01-02-2022","RVG  127009","Betahistine Amarox 8 mg, tabletten"
"26-01-2022","RVG  127303","Cleenema 139,1 mg/ml / 31,7 mg/ml, oplossing voor rectaal gebruik"
"31-01-2022","RVG  126178","Enalaprilmaleaat Accord 10 mg tabletten"
"31-01-2022","RVG  126179","Enalaprilmaleaat Accord 20 mg tabletten"
"31-01-2022","RVG  126177","Enalaprilmaleaat Accord 5 mg tabletten"
"27-01-2022","RVG  129148//18194","Flixotide Diskus 250 microgram/dosis, inhalatiepoeder, voorverdeeld"
"24-01-2022","RVG  129255//115693","Foster 200/6 microgram/dosis, aërosol, oplossing"
"26-01-2022","RVG  128919","Injexate 10 mg = 0,20 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128920","Injexate 12,5 mg = 0,25 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128921","Injexate 15 mg = 0,30 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128922","Injexate 17,5 mg = 0,35 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128923","Injexate 20 mg = 0,40 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128924","Injexate 22,5 mg = 0,45 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128925","Injexate 25 mg = 0,50 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128926","Injexate 27,5 mg = 0,55 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128927","Injexate 30 mg = 0,60 ml oplossing voor injectie in voorgevulde injector"
"26-01-2022","RVG  128918","Injexate 7,5 mg = 0,15 ml oplossing voor injectie in voorgevulde injector"
"27-01-2022","RVG  129259//106309","Jext 300 microgram, oplossing voor injectie in een voorgevulde pen"
"26-01-2022","RVG  126753","Lacosamide Aristo 100 mg, filmomhulde tabletten"
"26-01-2022","RVG  126754","Lacosamide Aristo 150 mg, filmomhulde tabletten"
"26-01-2022","RVG  126755","Lacosamide Aristo 200 mg, filmomhulde tabletten"
"26-01-2022","RVG  126752","Lacosamide Aristo 50 mg, filmomhulde tabletten"
"25-01-2022","RVG  129285//24206","Mifegyne, tabletten 200 mg"
"24-01-2022","RVG  128783//12060","Nimodipine Eureco-Pharma 30 mg, filmomhulde tabletten"
"28-01-2022","RVG  127073","Posiforlid 20 mg/g, oogzalf"
"02-02-2022","RVG  126702","Sitagliptine/Metformine Teva 50 mg/1000 mg, filmomhulde tabletten"
"02-02-2022","RVG  126697","Sitagliptine/Metformine Teva 50 mg/850 mg, filmomhulde tabletten"
"24-01-2022","RVG  127497","SmofKabiven Nutribase emulsie voor infusie"
"27-01-2022","RVG  127615","Sugammadex Teva 100 mg/ml, oplossing voor injectie"
"26-01-2022","RVG  126661","Tramadol/Paracetamol Accord 37,5mg/325mg bruistablet"
"24-01-2022","RVG  125074//07831","Xylocaine 100 mg/ml spray"
