"Datum","Registratienummer","Productnaam"
"22-08-2022","RVG  129439//121498","Alizem 30 mg zachte capsules"
"24-08-2022","RVG  129962//25415","Almotriptan Eureco-Pharma 12,5 mg filmomhulde tabletten"
"30-08-2022","RVG  126429","Amoxicilline EG 1000 mg tabletten"
"24-08-2022","RVG  128133","Bimatoprost/Timolol Pharmabide 0,3 mg/ml + 5 mg/ml oogdruppels, oplossing"
"24-08-2022","RVG  128132","Bimatoprost/Timolol Pharmabide 0,3 mg/ml + 5 mg/ml oogdruppels, oplossing in verpakking voor eenmalig gebruik"
"25-08-2022","RVG  128679","Bupropion HCl Sandoz retard 300 mg, tabletten met gereguleerde afgifte"
"25-08-2022","RVG  128681","Bupropion HCl Sandoz retard 300 mg, tabletten met gereguleerde afgifte"
"29-08-2022","RVG  129968//09013","Camcolit, 400 mg, tabletten"
"29-08-2022","RVG  130115//05573","Cyklokapron 100 mg/ml, oplossing voor injectie/infusie"
"25-08-2022","RVG  130260//114215","Dymista Neusspray 137 microgram/50 microgram, neusspray, suspensie"
"29-08-2022","RVG  127981","Hezkue 12,5 mg/dosis, suspensie voor oraal gebruik"
"30-08-2022","RVG  130221//33600","Mezavant 1200 mg maagsapresistente, tabletten met verlengde afgifte"
"29-08-2022","RVG  128671","Micafungine Pharmazac 100 mg poeder voor concentraat voor oplossing voor infusie"
"29-08-2022","RVG  128670","Micafungine Pharmazac 50 mg poeder voor concentraat voor oplossing voor infusie"
"23-08-2022","RVG  129575//21940","Qvar Extrafijne Aërosol 100 Autohaler, 100 microgram/dosis, aërosol, oplossing"
"23-08-2022","RVG  129574//21939","Qvar Extrafijne Aërosol 50 Autohaler, 50 microgram/dosis, aërosol, oplossing"
"22-08-2022","RVG  130297//102601","Sumatriptan SUN 6 mg/0,5 ml oplossing voor injectie"
"29-08-2022","RVG  130151//120624","Testavan 20 mg/g, gel voor transdermaal gebruik"
"23-08-2022","RVG  130056//119304","Travoprost/Timolol 40 microgram/ml + 5 mg/ml oogdruppels, oplossing"
