"Datum","Registratienummer","Productnaam"
"30-06-2022","RVG  128201","Amlodipine/Valsartan Teva 10 mg/160 mg, filmomhulde tabletten"
"30-06-2022","RVG  128200","Amlodipine/Valsartan Teva 5 mg/160 mg, filmomhulde tabletten"
"30-06-2022","RVG  128195","Amlodipine/Valsartan Teva 5 mg/80 mg, filmomhulde tabletten"
"04-07-2022","RVG  130092//107000","Arganova Multidose 100mg/ml concentraat voor oplossing voor infusie"
"05-07-2022","RVG  128995//18388","Bezalip Retard 400 mg, tabletten met gereguleerde afgifte"
"05-07-2022","RVG  129828//18388","Bezalip Retard 400 mg, tabletten met gereguleerde afgifte"
"27-06-2022","RVG  128422","Fluticasonfuroaat Basic Pharma, 27,5 microgram/verstuiving, neusspray, suspensie"
"05-07-2022","RVG  129681=09511","Furosemide ratiopharm 40 mg, tabletten"
"06-07-2022","RVG  130078//33788","GRAZAX 75.000 SQ-T, lyofilisaat voor oraal gebruik"
"30-06-2022","RVG  129910=27253","Methylfenidaat HCl Sandoz 10 mg, tabletten"
"06-07-2022","RVG  127560","Permetrine InfectoPharm, 50 mg/g, crème"
"27-06-2022","RVG  128086","Pirfenidon CF 267 mg, filmomhulde tabletten"
"27-06-2022","RVG  128089","Pirfenidon CF 801 mg, filmomhulde tabletten"
"30-06-2022","RVG  129520//120195","Pleinvue poeder voor drank"
"28-06-2022","RVG  129534//21940","Qvar Extrafijne Aërosol 100 Autohaler, 100 microgram/dosis, oplossing"
"30-06-2022","RVG  129677//25865","Seretide 25/50 Inhalator CFK-vrij, aerosol, suspensie 25/50 microgram/dosis"
"05-07-2022","RVG  129636//115310","Soolantra 10 mg/g crème"
"05-07-2022","RVG  129750//03088","Vicks Vaporub, zalf voor inhalatiedamp"
"04-07-2022","RVG  130091//21472","Zofran 8 Zydis, smelttabletten 8 mg"
"06-07-2022","RVG  127977","Zuurstof Oxycure, 100% v/v, medicinaal gas, cryogeen"
