"Datum","Registratienummer","Productnaam"
"30-05-2022","RVG  129618","Abirateron Glenmark 500 mg, filmomhulde tabletten"
"01-06-2022","RVG  129878//31633","Alvesco 160 Inhalator, aërosol, oplossing 160 microgram/dosis"
"27-05-2022","RVG  127805","Azacitidine CF 25 mg/ml, poeder voor suspensie voor injectie"
"25-05-2022","RVG  129923","Cholecalciferol Fagron 50.000 IE, zachte capsules"
"25-05-2022","RVG  127834","Dexamethason Activase 0,5 mg, tabletten"
"25-05-2022","RVG  127835","Dexamethason Activase 2 mg tabletten"
"23-05-2022","RVG  127651","Ezetimibe/Atorvastatine STADA Arzneimittel AG 10 mg/10 mg filmomhulde tabletten"
"23-05-2022","RVG  127652","Ezetimibe/Atorvastatine STADA Arzneimittel AG 10 mg/20 mg filmomhulde tabletten"
"23-05-2022","RVG  127653","Ezetimibe/Atorvastatine STADA Arzneimittel AG 10 mg/40 mg filmomhulde tabletten"
"23-05-2022","RVG  127654","Ezetimibe/Atorvastatine STADA Arzneimittel AG 10 mg/80 mg filmomhulde tabletten"
"25-05-2022","RVG  127839","Fingolimod Sandoz 0,25 mg, harde capsules"
"23-05-2022","RVG  127700","Fludrocortisonacetaat Helm 0,1 mg/ml drank"
"23-05-2022","RVG  127701","Fludrocortisonacetaat Helm AG 0,1 mg/ml drank"
"23-05-2022","RVG  126690","Himavat 10 mg/10 mg, tabletten"
"23-05-2022","RVG  126691","Himavat 10 mg/20 mg, tabletten"
"23-05-2022","RVG  126693","Himavat 10 mg/40 mg, tabletten"
"23-05-2022","RVG  126695","Himavat 10 mg/80 mg, tabletten"
"25-05-2022","RVG  127840","Inzolfi 0,25 mg, harde capsules"
"27-05-2022","RVG  127235","Lercanidipine Accord 10 mg filmomhulde tabletten"
"27-05-2022","RVG  127236","Lercanidipine Accord 20 mg filmomhulde tabletten"
"24-05-2022","RVG  129419//17495","Neoral 25 mg, capsules"
"24-05-2022","RVG  129683//123203","Oestrogel 0,75 mg/dosis, transdermale gel"
"27-05-2022","RVG  127773","Ondansetron Fresenius Kabi 0,08 mg/ml oplossing voor infusie"
"27-05-2022","RVG  127774","Ondansetron Fresenius Kabi 0,16 mg/ml oplossing voor infusie"
"01-06-2022","RVG  128710//13760","Panzytrat 25.000, maagsapresistente capsules, hard"
"24-05-2022","RVG  129727//08285","Rocaltrol 0,25 microgram, capsules"
"31-05-2022","RVG  129567//28131","Salofalk 1000 mg Granu-Stix, maagsapresistent granulaat met verlengde afgifte"
"31-05-2022","RVG  129963","Uman Big 180 IE/ml oplossing voor injectie"
"27-05-2022","RVG  127556","Vildagliptine/Metformine hydrochloride Intas 50 mg/1000 mg filmomhulde tabletten"
"27-05-2022","RVG  127553","Vildagliptine/Metformine hydrochloride Intas 50 mg/850 mg filmomhulde tabletten"
"24-05-2022","RVG  128280","Vitamine D3 Teva 25.000 IE, zachte capsules"
