"Datum","Registratienummer","Productnaam"
"09-12-2021","RVG  128317//121518","Alutard SQ 2-Huisstofmijten 100.000 SQ-E/ml, suspensie voor injectie"
"09-12-2021","RVG  128319//121480","Alutard SQ Bijengif 100.000 SQ-E/ml, suspensie voor injectie"
"09-12-2021","RVG  128321//121482","Alutard SQ Wespengif 100.000 SQ-E/ml, suspensie voor injectie"
"14-12-2021","RVG  129229//31994","Atimos 12 microgram, aërosol, oplossing"
"09-12-2021","RVG  126858","Bortezomib Baxter 3,5 mg poeder voor oplossing voor injectie"
"06-12-2021","RVG  127105","Bupropion HCL 150 mg Focus Care, tabletten met gereguleerde afgifte"
"15-12-2021","RVG  124781","Cabazitaxel MSN 60 mg concentraat en oplosmiddel voor oplossing voor infusie"
"15-12-2021","RVG  124779","Cabazitaxel Vivanta 60 mg concentraat en oplosmiddel voor oplossing voor infusie"
"08-12-2021","RVG  128833//08201","Calcitonine Eureco-Pharma 100 IE/ml, oplossing voor injectie en infusie"
"08-12-2021","RVG  129133//11193","Carnitene 100 mg/ml, drank"
"15-12-2021","RVG  128730//10656","Creon 10.000 eenheden, harde maagsapresistente capsules"
"15-12-2021","RVG  128816//120929","Creon 35.000 eenheden, harde maagsapresistente capsules"
"06-12-2021","RVG  126406","Cyclofosfamide Accord 1000 mg, poeder voor oplossing voor injectie / infusie"
"06-12-2021","RVG  126404","Cyclofosfamide Accord 500 mg, poeder voor oplossing voor injectie / infusie"
"09-12-2021","RVG  128709//20554","Cyress 10, 10 mg capsules met gereguleerde afgifte"
"08-12-2021","RVG  128629//17505","Dysport, poeder voor injectievloeistof 500 E"
"07-12-2021","RVG  128842//01155","Endoxan omhulde tablet, omhulde tabletten, 50 mg"
"13-12-2021","RVG  125732","Etoposide Hikma 20 mg/ml concentraat voor oplossing voor infusie"
"15-12-2021","RVG  125998//18195","Flixotide Diskus 500 microgram/dosis-inhalatiepoeder, voorverdeeld"
"14-12-2021","RVG  128580//18195","Flixotide Diskus 500 microgram/dosis-inhalatiepoeder, voorverdeeld"
"10-12-2021","RVG  128533//12787","Fragmin 2.500 IE/0,2 ml, oplossing voor injectie"
"10-12-2021","RVG  128450//20822","Isosorbidemononitraat Retard Medcor 100 mg, harde capsules met gereguleerde afgifte"
"15-12-2021","RVG  129141//25388","Nexium 40 mg, maagsapresistente tabletten 40 mg"
"14-12-2021","RVG  126289","Noradrenaline SUN 0,5 mg/ml oplossing voor infusie in een voorgevulde spuit"
"10-12-2021","RVG  129143//24224","Norditropin SimpleXx 10 mg/1,5 ml, oplossing voor injectie in een patroon"
"10-12-2021","RVG  129142//24225","Norditropin SimpleXx 15 mg/1,5 ml, oplossing voor injectie in een patroon"
"10-12-2021","RVG  129144//24223","Norditropin SimpleXx 5 mg/1,5 ml, oplossing voor injectie in een patroon"
"07-12-2021","RVG  129263","Paracetamol Linn 500 mg liquid caps, zachte capsules"
"09-12-2021","RVG  128203//120133","Salflutin 50 microgram/500 microgram/dosis inhalatiepoeder, voorverdeeld"
"14-12-2021","RVG  129103//26303","Somatuline AutoSolution 120 mg, oplossing voor injectie in een voorgevulde spuit"
"14-12-2021","RVG  128419//117734","Voltaren Emulgel Extra Sterk 2,32%, gel"
