"Datum","Registratienummer","Productnaam"
"10-09-2022","RVG  130139//122731","Aktiprol 400 mg tabletten"
"07-09-2022","RVG  129583//31994","Atimos 12 microgram aërosol, oplossing"
"08-09-2022","RVG  127946","Dusmyla 160 microgram/ml drank"
"05-09-2022","RVG  130223//25549","Femoston Continu 1 mg/5 mg, filmomhulde tabletten"
"13-09-2022","RVG  128367//18195","Flixotide Diskus 500 microgram/dosis-inhalatiepoeder, voorverdeeld"
"08-09-2022","RVG  128823","Inzolfi 0,25 mg, harde capsules"
"05-09-2022","RVG  127546","Losartankalium Amarox 100 mg, filmomhulde tabletten"
"05-09-2022","RVG  127544","Losartankalium Amarox 25 mg, filmomhulde tabletten"
"05-09-2022","RVG  127545","Losartankalium Amarox 50 mg, filmomhulde tabletten"
"08-09-2022","RVG  127771","Luvify 0,25 mg/ml, oogdruppels, oplossing"
"05-09-2022","RVG  129772//05069","Microlax, oplossing voor rectaal gebruik"
"12-09-2022","RVG  127406","Nortriptyline Double-e Pharma 10 mg, filmomhulde tabletten"
"12-09-2022","RVG  127407","Nortriptyline Double-e Pharma 25 mg, filmomhulde tabletten"
"09-09-2022","RVG  127656","Sitagliptine/Metformine hydrochloride Grindeks 50 mg/1000 mg, filmomhulde tabletten"
"09-09-2022","RVG  127655","Sitagliptine/Metformine hydrochloride Grindeks 50 mg/850 mg, filmomhulde tabletten"
"09-09-2022","RVG  127609","Sugammadex Amarox 100 mg/ml oplossing voor injectie"
"12-09-2022","RVG  129539//00027","Sustanon 250 mg/ml, oplossing voor injectie"
