"Datum","Registratienummer","Productnaam"
"15-11-2021","RVG  127962","Acecort 2 mg, filmomhulde tabletten"
"11-11-2021","RVG  124384","Adenosine Hikma 6 mg/2 ml, oplossing voor injectie"
"09-11-2021","RVG  128007","Cinacalcet Reddy 30 mg filmomhulde tabletten"
"09-11-2021","RVG  128008","Cinacalcet Reddy 60 mg filmomhulde tabletten"
"09-11-2021","RVG  128009","Cinacalcet Reddy 90 mg filmomhulde tabletten"
"08-11-2021","RVG  128963//16055","Creon 25.000 eenheden, harde maagsapresistente capsules"
"10-11-2021","RVG  124419","Deflazacort Vital Pharma Nordic 30mg, tabletten"
"10-11-2021","RVG  124416","Deflazacort Vital Pharma Nordic 6 mg, tabletten"
"16-11-2021","RVG  127891//01800","Erythrocine i.v. 1 g poeder voor oplossing voor infusie"
"15-11-2021","RVG  126154","Everolimus Biocon 10 mg tabletten"
"15-11-2021","RVG  126152","Everolimus Biocon 2,5 mg tabletten"
"15-11-2021","RVG  126153","Everolimus Biocon 5 mg tabletten"
"15-11-2021","RVG  129011//107242","Flutiform 125 microgram / 5 microgram / dosis aërosol, suspensie"
"08-11-2021","RVG  127082","Icatibant Glenmark 30 mg oplossing voor injectie in een voorgevulde spuit"
"09-11-2021","RVG  128247","Itraconazol 10 mg/ml Focus Care, drank"
"08-11-2021","RVG  129028//21683","Losec MUPS 10 mg, maagsapresistente tabletten"
"08-11-2021","RVG  129014//21684","Losec MUPS 20 mg, maagsapresistente tabletten"
"15-11-2021","RVG  128052","MONTEK 10-40 GBq radionuclide generator"
"15-11-2021","RVG  127914","Olmesartan medoxomil/Amlodipine/HCT Innovis, 20mg/5mg/12,5mg filmomhulde tabletten"
"15-11-2021","RVG  127916","Olmesartan medoxomil/Amlodipine/HCT Innovis, 40mg/10mg/12,5mg filmomhulde tabletten"
"15-11-2021","RVG  127918","Olmesartan medoxomil/Amlodipine/HCT Innovis, 40mg/10mg/25mg filmomhulde tabletten"
"15-11-2021","RVG  127915","Olmesartan medoxomil/Amlodipine/HCT Innovis, 40mg/5mg/12,5mg filmomhulde tabletten"
"15-11-2021","RVG  127917","Olmesartan medoxomil/Amlodipine/HCT Innovis, 40mg/5mg/25mg filmomhulde tabletten"
"10-11-2021","RVG  128566","Ondansetron 4 mg/5 ml Focus Care, Stroop"
"15-11-2021","RVG  128905//115340","Pneumovax 23, oplossing voor injectie in een voorgevulde spuit"
"17-11-2021","RVG  128044","Renixola 200 mg, filmomhulde tabletten"
"17-11-2021","RVG  127669","Soluprick SQ Berkpollen 10.000 BU/ml, oplossing voor huidpriktest"
"17-11-2021","RVG  127678","Soluprick SQ Bijengif 10-100-300 microgram/ml, oplossing voor huidpriktest"
"17-11-2021","RVG  127672","Soluprick SQ Bijvoetpollen 10.000 BU/ml, oplossing voor huidpriktest"
"17-11-2021","RVG  127674","Soluprick SQ D. farinae huisstofmijten 10.000 BU/ml, oplossing voor huidpriktest"
"17-11-2021","RVG  127673","Soluprick SQ D. pteronyssinus huisstofmijten 10.000 BU/ml, oplossing voor huidpriktest"
"17-11-2021","RVG  127676","Soluprick SQ Hondepithelia 10.000 BU/ml, oplossing voor huidpriktest"
"17-11-2021","RVG  127677","Soluprick SQ Katepithelia 10.000 BU/ml, oplossing voor huidpriktest"
"17-11-2021","RVG  127671","Soluprick SQ Timotheegraspollen 10.000 BU/ml, oplossing voor huidpriktest"
"17-11-2021","RVG  127679","Soluprick SQ Wespengif 10-100-300 microgram/ml, oplossing voor huidpriktest"
"10-11-2021","&nbspRVG  126113","Tentin 10 mg tabletten"
"10-11-2021","&nbspRVG  126116","Tentin 20 mg tabletten"
"10-11-2021","RVG  128983//10375","Vepesid 50 mg capsules, zacht"
"17-11-2021","RVG  126930","Weldinin 200 mg, filmomhulde tabletten"
"10-11-2021","RVG  127943//07830","Xylocaine 20 mg/g Gel, catheterslijm"
"10-11-2021","RVG  128804//120637","Yaldigo 1600 mg, tabletten met gereguleerde afgifte"
