"Datum","Registratienummer","Productnaam"
"31-12-2021","RVG  128318//121512","Alutard SQ 3-Boompollen 100.000 SQ-E/ml, suspensie voor injectie"
"03-01-2022","RVG  125872","Apixaban CF 2,5 mg, filmomhulde tabletten"
"03-01-2022","RVG  125873","Apixaban CF 5 mg, filmomhulde tabletten"
"29-12-2021","RVG  129221//114005","Cholecomb 10 mg/10 mg, capsule, hard"
"29-12-2021","RVG  129192//114006","Cholecomb 20 mg/10 mg, capsule, hard"
"29-12-2021","RVG  128910//15466","Ciclopiroxolamine ERC 10 mg/g, hydrofiele crème"
"04-01-2022","RVG  128322//13157","Depakine Chrono 300, tabletten met gereguleerde afgifte 300 mg"
"30-12-2021","RVG  129066//120994","Duraphat 5000 ppm tandpasta"
"03-01-2022","RVG  127837","Exametazime Radiopharmacy 0,5 mg kit voor radiofarmaceutisch preparaat"
"30-12-2021","RVG  128897//103887","Femoston Continu 0,5 mg / 2,5 mg Filmomhulde tabletten"
"04-01-2022","RVG  127923","Fingolimod Devatis 0,25 mg, harde capsules"
"04-01-2022","RVG  127924","Fingolimod Devatis 0,5 mg, harde capsules"
"28-12-2021","RVG  127227","Icatibant Aguettant 30 mg oplossing voor injectie in een voorgevulde spuit"
"28-12-2021","RVG  128517//19469","Imigran 10 Neusspray, neusspray 10 mg/dosis"
"05-01-2022","RVG  127548","Lorazepam Medochemie Bohemia 4 mg/ml, oplossing voor injectie"
"31-12-2021","RVG  127391","Mometasonfuroaat Interdos 50 microgram/verstuiving, neusspray, suspensie"
"27-12-2021","RVG  129083//30794","Nebido 1000 mg/4 ml, oplossing voor injectie"
"27-12-2021","RVG  127780","Rivastigmine Teva 13,3 mg/24 u, pleister voor transdermaal gebruik"
"27-12-2021","RVG  127776","Rivastigmine Teva 4,6 mg/24 u, pleister voor transdermaal gebruik"
"27-12-2021","RVG  127779","Rivastigmine Teva 9,5 mg/24 u, pleister voor transdermaal gebruik"
"03-01-2022","RVG  128702//115471","RXT nicotine kauwgom  mint 2 mg"
"03-01-2022","RVG  128703//115472","RXT nicotine kauwgom mint 4 mg"
"27-12-2021","RVG  129118//120624","Testavan 20 mg/g, gel voor transdermaal gebruik"
"29-12-2021","RVG  128731//51924","Thiamine HCl Eureco-Pharma 100 mg/ml, oplossing voor injectie"
