"Datum","Registratienummer","Productnaam"
"13-06-2022","RVG  130041//109659","Aprokam 50 mg poeder voor oplossing voor injectie"
"14-06-2022","RVG  128057","Axhidrox 8 mg/g, Crème"
"14-06-2022","RVG  125824","Carmustine Accord 100 mg poeder en oplosmiddel voor concentraat voor oplossing voor infusie"
"20-06-2022","RVG  129587//120929","Creon 35.000 eenheden, harde maagsapresistente capsules"
"15-06-2022","RVG  129676","DA Loperamide HCl diarreeremmer 2 mg, harde capsules"
"15-06-2022","RVG  129850//35313","Eligard 45 mg poeder en oplosmiddel voor oplossing voor injectie"
"15-06-2022","RVG  129964//33227","Equasym XL 10 mg,capsules met gereguleerde afgifte, hard"
"15-06-2022","RVG  129965//111228","Equasym XL 40 mg,capsules met gereguleerde afgifte, hard"
"15-06-2022","RVG  129967//111232","Equasym XL 50 mg, capsules met gereguleerde afgifte, hard"
"15-06-2022","RVG  129600","Kruidvat Loperamide HCl diarreeremmer 2 mg, harde capsules"
"17-06-2022","RVG  128231","Leflunomide Aurobindo 10 mg, filmomhulde tabletten"
"17-06-2022","RVG  128232","Leflunomide Aurobindo 20 mg, filmomhulde tabletten"
"15-06-2022","RVG  129566","Leidapharm Loperamide HCL diarreeremmer 2 mg, harde capsules"
"20-06-2022","RVG  129944//11783","Nootropil 1200, 1200 mg filmomhulde tabletten"
"17-06-2022","RVG  128075","Pirfenidon Sandoz 267 mg, filmomhulde tabletten"
"17-06-2022","RVG  128076","Pirfenidon Sandoz 801 mg, filmomhulde tabletten"
"14-06-2022","RVG  128168","Tapentadol Retard Laboratorios Liconsa 100 mg tabletten met verlengde afgifte"
"14-06-2022","RVG  128169","Tapentadol Retard Laboratorios Liconsa 150 mg tabletten met verlengde afgifte"
"14-06-2022","RVG  128170","Tapentadol Retard Laboratorios Liconsa 200 mg tabletten met verlengde afgifte"
"14-06-2022","RVG  128166","Tapentadol Retard Laboratorios Liconsa 25 mg tabletten met verlengde afgifte"
"14-06-2022","RVG  128171","Tapentadol Retard Laboratorios Liconsa 250 mg tabletten met verlengde afgifte"
"14-06-2022","RVG  128167","Tapentadol Retard Laboratorios Liconsa 50 mg tabletten met verlengde afgifte"
"15-06-2022","RVG  129604","Trekpleister Loperamide HCl diarreeremmer 2 mg, harde capsules"
"20-06-2022","RVG  129032","Venlafaxine retard Teva 150 mg, harde capsules met verlengde afgifte"
"20-06-2022","RVG  129029","Venlafaxine retard Teva 37,5 mg, harde capsules met verlengde afgifte"
"20-06-2022","RVG  129031","Venlafaxine retard Teva 75 mg, harde capsules met verlengde afgifte"
