"Datum","Registratienummer","Productnaam"
"27-10-2021","RVG  127419","Acecort 3 mg, filmomhulde tabletten"
"26-10-2021","&nbspRVG  126703","Actair 100 en 300 IR, tabletten voor sublinguaal gebruik"
"26-10-2021","&nbspRVG  126694","Actair 100 IR, tabletten voor sublinguaal gebruik"
"26-10-2021","&nbspRVG  126704","Actair 300 IR, tabletten voor sublinguaal gebruik"
"25-10-2021","RVG  128083//121480","Alutard SQ Bijengif 100.000 SQ-E/ml, suspensie voor injectie"
"02-11-2021","RVG  127130","Bortezomib EVER Pharma 2,5 mg/ml oplossing voor injectie"
"26-10-2021","RVG  126804","Cholecalciferol Teva 25.000 IE, zachte capsules"
"25-10-2021","RVG  128553//22687","Cipramil 40 mg/ml druppels voor oraal gebruik, oplossing"
"01-11-2021","RVG  128442//10656","Creon 10.000, harde maagsapresistente capsules 10.000 eenheden"
"26-10-2021","RVG  128590//06195","Daktarin strooipoeder 20 mg/g,strooipoeder"
"28-10-2021","RVG  127623","Dexamethasonfosfaat Kalceks 4 mg/ml oplossing voor injectie/infusie"
"01-11-2021","RVG  128129","Everolimus Ethypharm 10 mg tabletten"
"01-11-2021","RVG  128127","Everolimus Ethypharm 2,5 mg tabletten"
"01-11-2021","RVG  128128","Everolimus Ethypharm 5 mg tabletten"
"28-10-2021","RVG  127269","Ezeat 10 mg/10 mg, filmomhulde tabletten"
"28-10-2021","RVG  127270","Ezeat 10 mg/20 mg, filmomhulde tabletten"
"28-10-2021","RVG  127271","Ezeat 10 mg/40 mg, filmomhulde tabletten"
"28-10-2021","RVG  127272","Ezeat 10 mg/80 mg, filmomhulde tabletten"
"26-10-2021","RVG  126886","Ezetimibe/Atorvastatine Sandoz 10 mg/10 mg, filmomhulde tabletten"
"26-10-2021","RVG  126887","Ezetimibe/Atorvastatine Sandoz 10 mg/20 mg, filmomhulde tabletten"
"26-10-2021","RVG  126888","Ezetimibe/Atorvastatine Sandoz 10 mg/40 mg, filmomhulde tabletten"
"26-10-2021","RVG  126889","Ezetimibe/Atorvastatine Sandoz 10 mg/80 mg, filmomhulde tabletten"
"03-11-2021","RVG  128581//16214","Flixotide 250 Inhalator CFK-vrij, aërosol, suspensie 250 microgram/dosis"
"03-11-2021","RVG  128579//16212","Flixotide 50 Inhalator CFK-vrij, aërosol, suspensie 50 microgram/dosis"
"26-10-2021","RVG  127899//18194","Flixotide Diskus 250 microgram/dosis, inhalatiepoeder, voorverdeeld"
"28-10-2021","RVG  128551//15814","Gynomyk, vaginale creme 20 mg/g"
"28-10-2021","RVG  128733//25876","Hydroxycarbamide Eureco-Pharma, 500 mg harde capsules"
"25-10-2021","RVG  127945","Loperamide HCl Klinge 2 mg, lyophilisaat voor oraal gebruik"
"25-10-2021","RVG  125439","Loperamide HCl Mylan 2 mg, lyophilisaat voor oraal gebruik"
"25-10-2021","RVG  125424","Loperamide HCl Tenshi 2 mg, lyophilisaat voor oraal gebruik"
"25-10-2021","RVG  128830//08996","Nalador-500, poeder voor oplossing voor infusie 500 mcg"
"03-11-2021","RVG  129036//10228","Natriumcromoglicaat BModesto, granulaat in sachets 200 mg"
"27-10-2021","RVG  127417","Ondansetron Kalceks 2 mg/ml oplossing voor injectie/infusie"
"28-10-2021","RVG  127249","Quetiapine Fairmed Healthcare 150 mg tabletten met verlengde afgifte"
"28-10-2021","RVG  127246","Quetiapine Fairmed Healthcare 200 mg tabletten met verlengde afgifte"
"28-10-2021","RVG  127247","Quetiapine Fairmed Healthcare 300 mg tabletten met verlengde afgifte"
"28-10-2021","RVG  127248","Quetiapine Fairmed Healthcare 400 mg tabletten met verlengde afgifte"
"28-10-2021","RVG  127245","Quetiapine Fairmed Healthcare 50 mg tabletten met verlengde afgifte"
"28-10-2021","RVG  126494//15460","Rifinah 300 mg/150 mg, filmomhulde tablet"
"25-10-2021","RVG  128904//100154","Rocuroniumbromide ERC 10 mg/ml, oplossing voor injectie/infusie"
"03-11-2021","RVG  128976//34425","Rupafin 10 mg tabletten"
"02-11-2021","RVG  128971//103823","Saflutan 15 microgram/ml, oogdruppels, oplossing, verpakking voor eenmalig gebruik"
"29-10-2021","RVG  128192","Scopolamine butylbromide Kalceks 20 mg/ml, oplossing voor injectie"
"03-11-2021","RVG  125473","Sitagliptine CF 100 mg, filmomhulde tabletten"
"03-11-2021","RVG  125471","Sitagliptine CF 25 mg, filmomhulde tabletten"
"03-11-2021","RVG  125472","Sitagliptine CF 50 mg, filmomhulde tabletten"
"03-11-2021","RVG  125478","Sitagliptine STADA 100 mg, filmomhulde tabletten"
"03-11-2021","RVG  125475","Sitagliptine STADA 25 mg, filmomhulde tabletten"
"03-11-2021","RVG  125477","Sitagliptine STADA 50 mg, filmomhulde tabletten"
"26-10-2021","RVG  125994//06664","Solu-Medrol, poeder voor oplossing voor infusie 1000 mg"
"01-11-2021","RVG  124484","Strepfen met sinaasappelsmaak suikervrij 8,75 mg, zuigtabletten"
"01-11-2021","RVG  124485","Strepfen met sinaasappelsmaak suikervrij 8,75 mg, zuigtabletten"
"01-11-2021","RVG  124486","Strepfen met sinaasappelsmaak suikervrij 8,75 mg, zuigtabletten"
"01-11-2021","RVG  124487","Strepfen met sinaasappelsmaak suikervrij 8,75 mg, zuigtabletten"
"26-10-2021","RVG  126638","Sunitinib SUN 12,5 mg harde capsules"
"26-10-2021","RVG  126639","Sunitinib SUN 25 mg harde capsules"
"26-10-2021","RVG  126640","Sunitinib SUN 37,5 mg harde capsules"
"26-10-2021","RVG  126641","Sunitinib SUN 50 mg harde capsules"
"28-10-2021","RVG  129012//24752","Trileptal 600 mg, filmomhulde tabletten"
"03-11-2021","RVG  127264","Ursonorm 400 mg filmomhulde tabletten"
"28-10-2021","RVG  127984//25285","Vasexten 10, 10 mg capsules met gereguleerde afgifte"
"28-10-2021","RVG  127985//25286","Vasexten 20, 20 mg capsules met gereguleerde afgifte"
"02-11-2021","RVG  127029","Velariq 1 mg/ml oplossing voor intravesicaal gebruik"
"25-10-2021","RVG  128707//26592","Xalacom 50 microgram/ml + 5 mg/ml oogdruppels, oplossing"
