"Datum","Registratienummer","Productnaam"
"21-02-2022","RVG  129155//122729","Amisulpride ERC 100 mg, tabletten"
"21-02-2022","RVG  129154//122727","Amisulpride ERC 50 mg, tabletten"
"02-03-2022","RVG  129145//122729","Amisulpride Medcor 100 mg, tabletten"
"02-03-2022","RVG  129146//122731","Amisulpride Medcor 400 mg tabletten"
"25-02-2022","RVG  128204//01032","Antabus dispergetten 400 mg, bruistabletten"
"21-02-2022","&nbspRVG  126265","Atgam 50 mg/ml concentraat voor oplossing voor infusie"
"21-02-2022","RVG  126160","Clobazam Essential Pharmaceuticals 1 mg/ml, suspensie voor oraal gebruik"
"23-02-2022","RVG  128737//12093","Condyline 0,5%, applicatievloeistof 5 mg / ml"
"23-02-2022","RVG  129422//118749","Cyclogest 400 mg, ovule"
"23-02-2022","RVG  126761","Dabiperel 110 mg harde capsules"
"23-02-2022","RVG  126762","Dabiperel 150 mg harde capsules"
"23-02-2022","RVG  126760","Dabiperel 75 mg harde capsules"
"23-02-2022","RVG  129411//03984","Desferal, poeder voor oplossing voor injectie of infusie 500 mg"
"22-02-2022","RVG  129244//124489","Elvanse 30 mg, harde capsules"
"22-02-2022","RVG  129245//124496","Elvanse 50 mg, harde capsules"
"22-02-2022","RVG  129234//124497","Elvanse 70 mg, harde capsules"
"28-02-2022","RVG  129294//110104","Foster NEXThaler 100/6 microgram/inhalatie, inhalatiepoeder"
"01-03-2022","RVG  129330//101918","GLEPARK 0,18 mg tabletten"
"21-02-2022","RVG  126831","Hydrocortison Tiofarma 1 mg, filmomhulde tabletten"
"21-02-2022","RVG  126834","Hydrocortison Tiofarma 10 mg, filmomhulde tabletten"
"21-02-2022","RVG  126832","Hydrocortison Tiofarma 2 mg, filmomhulde tabletten"
"21-02-2022","RVG  126835","Hydrocortison Tiofarma 20 mg, filmomhulde tabletten"
"21-02-2022","RVG  126833","Hydrocortison Tiofarma 5 mg, filmomhulde tabletten"
"24-02-2022","RVG  126329","Instillido 20 mg/ml gel"
"25-02-2022","RVG  127812","Levosimendan Kalceks 2,5 mg/ml concentraat voor oplossing voor infusie"
"22-02-2022","RVG  127344","Levothyroxinenatrium Aristo 125 microgram, tabletten"
"22-02-2022","RVG  127345","Levothyroxinenatrium Aristo 150 microgram, tabletten"
"22-02-2022","RVG  127343","Levothyroxinenatrium Aristo 75 microgram, tabletten"
"01-03-2022","RVG  126119","Noradrenaline hameln 0,2 mg/ml, oplossing voor infusie"
"23-02-2022","RVG  127735","Olmehyd 20 mg/12,5 mg, filmomhulde tabletten"
"23-02-2022","RVG  127736","Olmehyd 20 mg/25 mg, filmomhulde tabletten"
"23-02-2022","RVG  127737","Olmehyd 40 mg/12,5 mg, filmomhulde tabletten"
"23-02-2022","RVG  127738","Olmehyd 40 mg/25 mg, filmomhulde tabletten"
"21-02-2022","RVG  128524//18300","Pantozol 40, maagsapresistente tabletten 40 mg"
"21-02-2022","RVG  129585","Paracetamol PharmaMatch 500 mg ovaal, tabletten"
"22-02-2022","RVG  128853","Pregabaline Reddy 100 mg harde capsules"
"22-02-2022","RVG  128854","Pregabaline Reddy 150 mg harde capsules"
"22-02-2022","RVG  128855","Pregabaline Reddy 200 mg harde capsules"
"22-02-2022","RVG  128856","Pregabaline Reddy 225 mg harde capsules"
"22-02-2022","RVG  128847","Pregabaline Reddy 25 mg harde capsules"
"22-02-2022","RVG  128858","Pregabaline Reddy 300 mg harde capsules"
"22-02-2022","RVG  128851","Pregabaline Reddy 50 mg harde capsules"
"22-02-2022","RVG  128852","Pregabaline Reddy 75 mg harde capsules"
"24-02-2022","RVG  126352","Tizagelan 2 mg tabletten"
"24-02-2022","RVG  126353","Tizagelan 4 mg tabletten"
"24-02-2022","RVG  127706","Trabectedine Teva 0,25 mg, poeder voor concentraat voor oplossing voor infusie"
"24-02-2022","RVG  127707","Trabectedine Teva 1 mg, poeder voor concentraat voor oplossing voor infusie"
"28-02-2022","RVG  129450//112148","Triplixam 10 mg/2,5 mg/10 mg, filmomhulde tabletten"
"28-02-2022","RVG  129537//112147","Triplixam 10 mg/2,5 mg/5 mg, filmomhulde tabletten"
"28-02-2022","RVG  129442//112146","Triplixam 5 mg/1,25 mg/10 mg, filmomhulde tabletten"
"28-02-2022","RVG  129577//112145","Triplixam 5 mg/1,25 mg/5 mg, filmomhulde tabletten"
"02-03-2022","RVG  129282//101647","Ursofalk 50 mg/ml suspensie"
"24-02-2022","RVG  129177//30237","Xylocaine 10 mg/ml + 5 microgram/ml adrenaline, oplossing voor injectie"
