"Datum","Registratienummer","Productnaam"
"07-07-2022","RVG  127741","Abirateron Teva 500 mg, filmomhulde tabletten"
"04-07-2022","RVG  130092//107000","Arganova Multidose 100mg/ml concentraat voor oplossing voor infusie"
"07-07-2022","RVG  129573//31994","Atimos 12 microgram, aërosol, oplossing"
"05-07-2022","RVG  128995//18388","Bezalip Retard 400 mg, tabletten met gereguleerde afgifte"
"05-07-2022","RVG  129828//18388","Bezalip Retard 400 mg, tabletten met gereguleerde afgifte"
"12-07-2022","RVG  128468","Brastib 250 mg, filmomhulde tabletten"
"11-07-2022","RVG  128907","Bronchostop Hoestdrank heemstwortel- lindebloesem- en weegbreebladextract"
"08-07-2022","RVG  129691//17316","Engerix-B 20 microgram/1 ml, suspensie voor injectie"
"12-07-2022","RVG  129708//23794","Fraxiparine Forte 11.400 IE/ 0,6 ml oplossing voor injectie"
"12-07-2022","RVG  129705//23795","Fraxiparine Forte 15.200 IE/ 0,8 ml oplossing voor injectie"
"05-07-2022","RVG  129681=09511","Furosemide ratiopharm 40 mg, tabletten"
"06-07-2022","RVG  130078//33788","GRAZAX 75.000 SQ-T, lyofilisaat voor oraal gebruik"
"11-07-2022","RVG  129765","Imatinib Krka 100 mg filmomhulde tabletten"
"11-07-2022","RVG  129766","Imatinib Krka 400 mg filmomhulde tabletten"
"12-07-2022","RVG  128465","Lapatinib STADA 250 mg, filmomhulde tabletten"
"12-07-2022","RVG  128466","Lapatinib STADA Arzneimittel AG 250 mg, filmomhulde tabletten"
"06-07-2022","RVG  127560","Permetrine InfectoPharm, 50 mg/g, crème"
"12-07-2022","RVG  127721","Rivaroxaban 1A Pharma 10 mg, filmomhulde tabletten"
"12-07-2022","RVG  127724","Rivaroxaban 1A Pharma 15 mg + 20 mg, filmomhulde tabletten"
"12-07-2022","RVG  127722","Rivaroxaban 1A Pharma 15 mg, filmomhulde tabletten"
"12-07-2022","RVG  127720","Rivaroxaban 1A Pharma 2,5 mg, filmomhulde tabletten"
"12-07-2022","RVG  127723","Rivaroxaban 1A Pharma 20 mg, filmomhulde tabletten"
"12-07-2022","RVG  127716","Rivaroxaban Sandoz 10 mg, filmomhulde tabletten"
"12-07-2022","RVG  127719","Rivaroxaban Sandoz 15 mg + 20 mg, filmomhulde tabletten"
"12-07-2022","RVG  127717","Rivaroxaban Sandoz 15 mg, filmomhulde tabletten"
"12-07-2022","RVG  127715","Rivaroxaban Sandoz 2,5 mg, filmomhulde tabletten"
"12-07-2022","RVG  127718","Rivaroxaban Sandoz 20 mg, filmomhulde tabletten"
"05-07-2022","RVG  129636//115310","Soolantra 10 mg/g crème"
"13-07-2022","RVG  127849","Sugammadex Noridem 100 mg/ml, Oplossing voor injectie"
"13-07-2022","RVG  125669","Teriparatide Ambio Pharma 20 microgram/80 microliter, oplossing voor injectie in een voorgevulde pen"
"13-07-2022","RVG  129984//115752","Tranylcypromine ERC 20 mg filmomhulde tabletten"
"05-07-2022","RVG  129750//03088","Vicks Vaporub, zalf voor inhalatiedamp"
"12-07-2022","RVG  127726","Xaboplax 10 mg, filmomhulde tabletten"
"12-07-2022","RVG  127729","Xaboplax 15 mg + 20 mg, filmomhulde tabletten"
"12-07-2022","RVG  127727","Xaboplax 15 mg, filmomhulde tabletten"
"12-07-2022","RVG  127725","Xaboplax 2,5 mg, filmomhulde tabletten"
"12-07-2022","RVG  127728","Xaboplax 20 mg, filmomhulde tabletten"
"04-07-2022","RVG  130091//21472","Zofran 8 Zydis, smelttabletten 8 mg"
"13-07-2022","RVG  129312//18562","Zoladex-10,8, implantatiestaafje 10,8 mg"
"06-07-2022","RVG  127977","Zuurstof Oxycure, 100% v/v, medicinaal gas, cryogeen"
