"Datum","Registratienummer","Productnaam"
"02-03-2022","RVG  129145//122729","Amisulpride Medcor 100 mg, tabletten"
"02-03-2022","RVG  129146//122731","Amisulpride Medcor 400 mg tabletten"
"08-03-2022","RVG  127138","Bimatoprost Brown & Burk 0,3 mg/ml oogdruppels, oplossing, in verpakking voor eenmalig gebruik"
"09-03-2022","RVG  126862","Bimatoprost/Timolol Brown & Burk 0,3 mg/ml + 5 mg/ml oogdruppels, oplossing in verpakking voor eenmalig gebruik"
"08-03-2022","RVG  127534","Bimeox 0,3 mg/ml oogdruppels, oplossing, in verpakking voor eenmalig gebruik"
"08-03-2022","RVG  129528//08201","Calcitonine ERC 100 IE/ml, oplossing voor injectie en infusie"
"04-03-2022","RVG  128452//06932","Dermovate crème 0,5 mg/g, crème"
"07-03-2022","RVG  129413//06279","Dogmatil 50, capsules 50 mg"
"08-03-2022","RVG  129493//35313","Eligard 45 mg poeder en oplosmiddel voor oplossing voor injectie"
"04-03-2022","RVG  129430//120702","Enoxaparine Medcor 4.000 IE (40 mg)/0,4 ml oplossing voor injectie in een voorgevulde spuit"
"04-03-2022","RVG  129429//120700","Enoxaparine Medcor 8.000 IE (80 mg)/0,8 ml oplossing voor injectie in een voorgevulde spuit"
"07-03-2022","RVG  127702","Esomeprazol ADOH 40 mg, poeder voor oplossing voor injectie/infusie"
"09-03-2022","RVG  125698","Fingolimod Biocon 0,5 mg harde capsules"
"28-02-2022","RVG  129294//110104","Foster NEXThaler 100/6 microgram/inhalatie, inhalatiepoeder"
"08-03-2022","RVG  127540","Furosemide Xiromed 20 mg, tabletten"
"08-03-2022","RVG  127541","Furosemide Xiromed 40 mg, tabletten"
"01-03-2022","RVG  129330//101918","GLEPARK 0,18 mg tabletten"
"07-03-2022","RVG  129542//33788","GRAZAX, lyofilisaat voor oraal gebruik 75.000 SQ-T"
"07-03-2022","RVG  129548//33788","GRAZAX, lyofilisaat voor oraal gebruik 75.000 SQ-T"
"04-03-2022","RVG  124092","Methylfenidaat HCl CF 18 mg, tabletten met verlengde afgifte"
"04-03-2022","RVG  124094","Methylfenidaat HCl CF 27 mg, tabletten met verlengde afgifte"
"04-03-2022","RVG  124095","Methylfenidaat HCl CF 36 mg, tabletten met verlengde afgifte"
"04-03-2022","RVG  124096","Methylfenidaat HCl CF 54 mg, tabletten met verlengde afgifte"
"03-03-2022","RVG  129359//112320","Natrixam 1,5 mg / 10 mg, tabletten met gereguleerde afgifte"
"01-03-2022","RVG  126119","Noradrenaline hameln 0,2 mg/ml, oplossing voor infusie"
"03-03-2022","RVG  129529=55829","Oxazepam ratiopharm 10 mg, tabletten"
"03-03-2022","RVG  129410//08202","Parlodel 2,5 mg, tabletten"
"03-03-2022","RVG  128844//00093","Prednisolonnatriumsuccinaat Eureco-Pharma 25 mg, poeder voor oplossing voor injectie"
"09-03-2022","RVG  129220//31801","Tacal D3 500 mg/400 I.E. Munt, kauwtabletten"
"08-03-2022","RVG  129424//129290","Tetagam P 250 IE, oplossing voor injectie in een voorgevulde spuit"
"08-03-2022","RVG  129243//115752","Tranylcypromine Eureco-Pharma 20 mg, filmomhulde tabletten"
"28-02-2022","RVG  129450//112148","Triplixam 10 mg/2,5 mg/10 mg, filmomhulde tabletten"
"28-02-2022","RVG  129537//112147","Triplixam 10 mg/2,5 mg/5 mg, filmomhulde tabletten"
"28-02-2022","RVG  129442//112146","Triplixam 5 mg/1,25 mg/10 mg, filmomhulde tabletten"
"28-02-2022","RVG  129577//112145","Triplixam 5 mg/1,25 mg/5 mg, filmomhulde tabletten"
"02-03-2022","RVG  129282//101647","Ursofalk 50 mg/ml suspensie"
"03-03-2022","RVG  128843//111622","Vesomni 6 mg/0,4 mg tabletten met gereguleerde afgifte"
"08-03-2022","RVG  127274","Vildagliptine Macleods 50 mg tabletten"
