"Datum","Registratienummer","Productnaam"
"15-11-2021","RVG  127962","Acecort 2 mg, filmomhulde tabletten"
"24-11-2021","RVG  128962//16617","Adenosine Eureco-Pharma, injectievloeistof voor intraveneuze toediening 3 mg/ml"
"23-11-2021","RVG  129062//123565","Dailiport 0,5 mg, harde capsules met verlengde afgifte"
"23-11-2021","RVG  129063//123565","Dailiport 0,5 mg, harde capsules met verlengde afgifte"
"23-11-2021","RVG  129064//123566","Dailiport 1 mg, harde capsules met verlengde afgifte"
"23-11-2021","RVG  129040//123567","Dailiport 2 mg, harde capsules met verlengde afgifte"
"24-11-2021","RVG  125117","Dexamethasonfosfaat hameln 4 mg/ml oplossing voor injectie"
"23-11-2021","RVG  128953//17505","Dysport 500 E, poeder voor injectievloeistof"
"23-11-2021","RVG  128955//17505","Dysport 500 E, poeder voor injectievloeistof"
"23-11-2021","RVG  128683//20863","Efexor XR 150, capsules met verlengde afgifte, hard, 150 mg"
"16-11-2021","RVG  127891//01800","Erythrocine i.v. 1 g poeder voor oplossing voor infusie"
"15-11-2021","RVG  126154","Everolimus Biocon 10 mg tabletten"
"15-11-2021","RVG  126152","Everolimus Biocon 2,5 mg tabletten"
"15-11-2021","RVG  126153","Everolimus Biocon 5 mg tabletten"
"19-11-2021","RVG  126878","Ezetimibe/Atorvastatine Hexal 10 mg/10 mg, filmomhulde tabletten"
"19-11-2021","RVG  126879","Ezetimibe/Atorvastatine Hexal 10 mg/20 mg, filmomhulde tabletten"
"19-11-2021","RVG  126880","Ezetimibe/Atorvastatine Hexal 10 mg/40 mg, filmomhulde tabletten"
"19-11-2021","RVG  126881","Ezetimibe/Atorvastatine Hexal 10 mg/80 mg, filmomhulde tabletten"
"24-11-2021","RVG  126649","Fampridine Teva 10 mg, tabletten met verlengde afgifte"
"18-11-2021","RVG  128990//25549","Femoston continu 1/5, filmomhulde tabletten 1 mg, 5 mg"
"22-11-2021","RVG  127474","Fentanyl Glenmark 100 microgram, tabletten voor sublinguaal gebruik"
"22-11-2021","RVG  127475","Fentanyl Glenmark 200 microgram, tabletten voor sublinguaal gebruik"
"22-11-2021","RVG  127476","Fentanyl Glenmark 300 microgram, tabletten voor sublinguaal gebruik"
"22-11-2021","RVG  127477","Fentanyl Glenmark 400 microgram, tabletten voor sublinguaal gebruik"
"22-11-2021","RVG  127478","Fentanyl Glenmark 600 microgram, tabletten voor sublinguaal gebruik"
"22-11-2021","RVG  127479","Fentanyl Glenmark 800 microgram, tabletten voor sublinguaal gebruik"
"15-11-2021","RVG  129011//107242","Flutiform 125 microgram / 5 microgram / dosis aërosol, suspensie"
"22-11-2021","RVG  129086//23013","Forlax 10 g, poeder voor drank in sachet"
"18-11-2021","RVG  129081//25876","Hydrea 500 mg harde capsules"
"24-11-2021","RVG  125165","Ibuprofen Liquid Caps Auro 400 mg, zachte capsules"
"18-11-2021","RVG  126673","Levosert afleveringsysteem voor intra-uterien gebruik 20 microgram/24 uur"
"23-11-2021","RVG  126296","Meropenem Venus Pharma 1000 mg poeder voor oplossing voor injectie/infusie"
"23-11-2021","RVG  126299","Meropenem Venus Pharma 2000 mg poeder voor oplossing voor injectie/infusie"
"23-11-2021","RVG  126294","Meropenem Venus Pharma 500 mg poeder voor oplossing voor injectie/infusie"
"15-11-2021","RVG  128052","MONTEK 10-40 GBq radionuclide generator"
